night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,492.5
0,ss_max,last_30min,selfreport,421.40625
0,ss_max,last_hour,imu,493.007813
0,ss_max,last_hour,selfreport,2184.023438
0,ss_max,total,imu,698.671875
0,ss_max,total,selfreport,3804.453125
0,ss_max_60,last_30min,imu,492.5
0,ss_max_60,last_30min,selfreport,421.40625
0,ss_max_60,last_hour,imu,493.007813
0,ss_max_60,last_hour,selfreport,2184.023438
0,ss_max_60,total,imu,698.671875
0,ss_max_60,total,selfreport,3804.453125
0,ss_max_position,last_30min,imu,0.1991764277543428
0,ss_max_position,last_30min,selfreport,0.2169499619535436
0,ss_max_position,last_hour,imu,0.599502494206071
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.1119305662504123
0,ss_max_position,total,selfreport,0.5300926495877879
0,ss_mean,last_30min,imu,114.48437493333334
0,ss_mean,last_30min,selfreport,70.43526785714286
0,ss_mean,last_hour,imu,151.9786005217391
0,ss_mean,last_hour,selfreport,163.69140625
0,ss_mean,total,imu,187.771875
0,ss_mean,total,selfreport,148.89763319117648
0,ss_mean_60,last_30min,imu,157.08984370000002
0,ss_mean_60,last_30min,selfreport,322.50976575
0,ss_mean_60,last_hour,imu,217.0963542
0,ss_mean_60,last_hour,selfreport,772.685547
0,ss_mean_60,total,imu,263.0583638823529
0,ss_mean_60,total,selfreport,395.232747375
0,ss_median,last_30min,imu,64.414062
0,ss_median,last_30min,selfreport,8.554687
0,ss_median,last_hour,imu,70.0
0,ss_median,last_hour,selfreport,9.5703125
0,ss_median,total,imu,110.625
0,ss_median,total,selfreport,18.457031
0,ss_median_60,last_30min,imu,112.65625
0,ss_median_60,last_30min,selfreport,391.699219
0,ss_median_60,last_hour,imu,188.828125
0,ss_median_60,last_hour,selfreport,410.4882815
0,ss_median_60,total,imu,198.984375
0,ss_median_60,total,selfreport,193.6523435
0,ss_number,last_30min,imu,15.0
0,ss_number,last_30min,selfreport,21.0
0,ss_number,last_hour,imu,23.0
0,ss_number,last_hour,selfreport,20.0
0,ss_number,total,imu,25.0
0,ss_number,total,selfreport,68.0
0,ss_number_60,last_30min,imu,10.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,15.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,17.0
0,ss_number_60,total,selfreport,24.0
0,ss_skewness,last_30min,imu,2.0439555324676144
0,ss_skewness,last_30min,selfreport,1.989258989940864
0,ss_skewness,last_hour,imu,1.0236815177434058
0,ss_skewness,last_hour,selfreport,3.748324684849727
0,ss_skewness,total,imu,1.1321702313270756
0,ss_skewness,total,selfreport,6.892443302587762
0,ss_skewness_60,last_30min,imu,1.734132102339253
0,ss_skewness_60,last_30min,selfreport,-1.1220505404409462
0,ss_skewness_60,last_hour,imu,0.6198798888723769
0,ss_skewness_60,last_hour,selfreport,1.0626179467945056
0,ss_skewness_60,total,imu,0.7909268560742346
