night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1474.101563
0,ss_max,last_hour,imu,1474.101562
0,ss_max,total,imu,3645.0
0,ss_max_60,last_30min,imu,1474.101563
0,ss_max_60,last_hour,imu,1474.101562
0,ss_max_60,total,imu,3645.0
0,ss_max_position,last_30min,imu,0.0725047333784589
0,ss_max_position,last_hour,imu,0.5363078784952059
0,ss_max_position,total,imu,0.2356223630957915
0,ss_mean,last_30min,imu,594.9088543333334
0,ss_mean,last_hour,imu,594.1471351666668
0,ss_mean,total,imu,538.0553977636364
0,ss_mean_60,last_30min,imu,594.9088543333334
0,ss_mean_60,last_hour,imu,709.3359372000001
0,ss_mean_60,total,imu,938.0808971612904
0,ss_median,last_30min,imu,186.796875
0,ss_median,last_hour,imu,429.2773435
0,ss_median,total,imu,97.421875
0,ss_median_60,last_30min,imu,186.796875
0,ss_median_60,last_hour,imu,541.757812
0,ss_median_60,total,imu,621.484375
0,ss_number,last_30min,imu,3.0
0,ss_number,last_hour,imu,6.0
0,ss_number,total,imu,55.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,total,imu,31.0
0,ss_skewness,last_30min,imu,0.7016791892753946
0,ss_skewness,last_hour,imu,0.6188867094868354
0,ss_skewness,total,imu,2.0472034656317004
0,ss_skewness_60,last_30min,imu,0.7016791892753946
0,ss_skewness_60,last_hour,imu,0.4980968093959122
0,ss_skewness_60,total,imu,1.3266436227241576
0,ss_std,last_30min,imu,762.0538892352779
0,ss_std,last_hour,imu,554.831709358966
0,ss_std,total,imu,867.6589814586698
0,ss_std_60,last_30min,imu,762.0538892352779
0,ss_std_60,last_hour,imu,534.1201468618102
0,ss_std_60,total,imu,987.9115276156408
1,ss_max,last_30min,imu,966.796875
1,ss_max,last_hour,imu,1296.875
1,ss_max,total,imu,2608.554688
1,ss_max_60,last_30min,imu,966.796875
1,ss_max_60,last_hour,imu,1296.875
1,ss_max_60,total,imu,2608.554688
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_hour,imu,0.4083669930866818
1,ss_max_position,total,imu,0.5083453633061701
1,ss_mean,last_30min,imu,590.1692710000001
1,ss_mean,last_hour,imu,591.6927081666666
1,ss_mean,total,imu,621.3233612682927
1,ss_mean_60,last_30min,imu,590.1692710000001
1,ss_mean_60,last_hour,imu,708.6249998
1,ss_mean_60,total,imu,790.8874511875
1,ss_median,last_30min,imu,555.976563
1,ss_median,last_hour,imu,517.1289059999999
1,ss_median,total,imu,348.789062
1,ss_median_60,last_30min,imu,555.976563
1,ss_median_60,last_hour,imu,555.976562
1,ss_median_60,total,imu,551.1523440000001
1,ss_number,last_30min,imu,3.0
1,ss_number,last_hour,imu,6.0
1,ss_number,total,imu,41.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_hour,imu,5.0
1,ss_number_60,total,imu,32.0
1,ss_skewness,last_30min,imu,0.1725625179346367
1,ss_skewness,last_hour,imu,0.3356704145346543
1,ss_skewness,total,imu,1.3450130329137917
1,ss_skewness_60,last_30min,imu,0.1725625179346367
1,ss_skewness_60,last_hour,imu,0.4067832110321143
1,ss_skewness_60,total,imu,1.124991814021686
1,ss_std,last_30min,imu,360.7486322730031
1,ss_std,last_hour,imu,471.2453668462976
1,ss_std,total,imu,711.2878718642156
1,ss_std_60,last_30min,imu,360.7486322730031
1,ss_std_60,last_hour,imu,418.3796583462861
1,ss_std_60,total,imu,719.4142001256555
