night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1254.21875
0,ss_max,last_hour,imu,1344.101562
0,ss_max,total,imu,2272.382812
0,ss_max_60,last_30min,imu,1254.21875
0,ss_max_60,last_hour,imu,1344.101562
0,ss_max_60,total,imu,2272.382812
0,ss_max_position,last_30min,imu,0.3029964354223288
0,ss_max_position,last_hour,imu,0.2766175039360905
0,ss_max_position,total,imu,0.0744375426912568
0,ss_mean,last_30min,imu,897.2265625
0,ss_mean,last_hour,imu,895.0683595
0,ss_mean,total,imu,414.1517857571429
0,ss_mean_60,last_30min,imu,897.2265625
0,ss_mean_60,last_hour,imu,895.0683595
0,ss_mean_60,total,imu,502.9324287719298
0,ss_median,last_30min,imu,897.2265625
0,ss_median,last_hour,imu,1065.820313
0,ss_median,total,imu,149.7265625
0,ss_median_60,last_30min,imu,897.2265625
0,ss_median_60,last_hour,imu,1065.820313
0,ss_median_60,total,imu,236.054688
0,ss_number,last_30min,imu,2.0
0,ss_number,last_hour,imu,4.0
0,ss_number,total,imu,70.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,total,imu,57.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_hour,imu,-0.7635170296225682
0,ss_skewness,total,imu,1.7369212889262695
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_hour,imu,-0.7635170296225682
0,ss_skewness_60,total,imu,1.4993687402629208
0,ss_std,last_30min,imu,504.8631932237389
0,ss_std,last_hour,imu,564.5834276320546
0,ss_std,total,imu,536.2742049330437
0,ss_std_60,last_30min,imu,504.8631932237389
0,ss_std_60,last_hour,imu,564.5834276320546
0,ss_std_60,total,imu,557.765121358742
1,ss_max,last_30min,imu,1615.273437
1,ss_max,last_hour,imu,1831.09375
1,ss_max,total,imu,2209.414062
1,ss_max_60,last_30min,imu,1615.273437
1,ss_max_60,last_hour,imu,1831.09375
1,ss_max_60,total,imu,2209.414062
1,ss_max_position,last_30min,imu,0.0203126102071951
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,total,imu,0.2703196423040901
1,ss_mean,last_30min,imu,595.924479
1,ss_mean,last_hour,imu,1196.158854
1,ss_mean,total,imu,464.0561524000001
1,ss_mean_60,last_30min,imu,878.4375
1,ss_mean_60,last_hour,imu,1196.158854
1,ss_mean_60,total,imu,582.7455357301587
1,ss_median,last_30min,imu,141.601563
1,ss_median,last_hour,imu,1615.78125
1,ss_median,total,imu,216.25
1,ss_median_60,last_30min,imu,878.4375
1,ss_median_60,last_hour,imu,1615.78125
1,ss_median_60,total,imu,335.585938
1,ss_number,last_30min,imu,3.0
1,ss_number,last_hour,imu,3.0
1,ss_number,total,imu,80.0
1,ss_number_60,last_30min,imu,2.0
1,ss_number_60,last_hour,imu,3.0
1,ss_number_60,total,imu,63.0
1,ss_skewness,last_30min,imu,0.6946663239709632
1,ss_skewness,last_hour,imu,-0.6637471088794742
1,ss_skewness,total,imu,1.7573360793088606
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_hour,imu,-0.6637471088794742
1,ss_skewness_60,total,imu,1.5037312141050465
1,ss_std,last_30min,imu,884.5156975194433
1,ss_std,last_hour,imu,919.5967484429478
1,ss_std,total,imu,592.1448353810018
1,ss_std_60,last_30min,imu,1042.0433753492875
1,ss_std_60,last_hour,imu,919.5967484429478
1,ss_std_60,total,imu,615.9416145301817
