night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,2528.320313
0,ss_max,last_hour,selfreport,2702.5
0,ss_max,total,imu,3074.726563
0,ss_max,total,selfreport,4091.367188
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,2528.320313
0,ss_max_60,last_hour,selfreport,2702.5
0,ss_max_60,total,imu,3074.726563
0,ss_max_60,total,selfreport,4091.367188
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.2976353560296908
0,ss_max_position,last_hour,selfreport,0.2492519783182134
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.2004213686111111
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,1793.0078130000002
0,ss_mean,last_hour,selfreport,1793.0078125
0,ss_mean,total,imu,662.80761725
0,ss_mean,total,selfreport,647.4751419696969
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,1793.0078130000002
0,ss_mean_60,last_hour,selfreport,1793.0078125
0,ss_mean_60,total,imu,876.3498265000001
0,ss_mean_60,total,selfreport,846.60781248
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,1793.0078130000002
0,ss_median,last_hour,selfreport,1793.0078125
0,ss_median,total,imu,253.3203125
0,ss_median,total,selfreport,248.242187
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,1793.0078130000002
0,ss_median_60,last_hour,selfreport,1793.0078125
0,ss_median_60,total,imu,557.246094
0,ss_median_60,total,selfreport,416.328125
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,2.0
0,ss_number,last_hour,selfreport,2.0
0,ss_number,total,imu,24.0
0,ss_number,total,selfreport,33.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,2.0
0,ss_number_60,total,imu,18.0
0,ss_number_60,total,selfreport,25.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,-4.497648507772503e-16
0,ss_skewness,last_hour,selfreport,0.0
0,ss_skewness,total,imu,1.6696260379145662
0,ss_skewness,total,selfreport,2.123129541393617
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,-4.497648507772503e-16
0,ss_skewness_60,last_hour,selfreport,0.0
0,ss_skewness_60,total,imu,1.3325608458019778
0,ss_skewness_60,total,selfreport,1.790536423722142
0,ss_std,last_hour,imu,1039.8889100824667
0,ss_std,last_hour,selfreport,1286.216186434874
0,ss_std,total,imu,908.3373075918591
0,ss_std,total,selfreport,954.8441397266034
0,ss_std_60,last_hour,imu,1039.8889100824667
0,ss_std_60,last_hour,selfreport,1286.216186434874
0,ss_std_60,total,imu,960.7759435656724
0,ss_std_60,total,selfreport,1022.3439093405536
1,ss_max,last_30min,imu,1184.648438
1,ss_max,last_30min,selfreport,1176.015625
1,ss_max,last_hour,imu,1193.789063
1,ss_max,last_hour,selfreport,1193.789063
1,ss_max,total,imu,3703.398438
1,ss_max,total,selfreport,3366.71875
1,ss_max_60,last_30min,imu,1184.648438
1,ss_max_60,last_30min,selfreport,1176.015625
1,ss_max_60,last_hour,imu,1193.789063
1,ss_max_60,last_hour,selfreport,1193.789063
1,ss_max_60,total,imu,3703.398438
1,ss_max_60,total,selfreport,3366.71875
1,ss_max_position,last_30min,imu,0.2668851284073771
1,ss_max_position,last_30min,selfreport,0.3464428516746926
1,ss_max_position,last_hour,imu,0.0770184380791799
1,ss_max_position,last_hour,selfreport,0.1167971918123828
1,ss_max_position,total,imu,0.0
1,ss_max_position,total,selfreport,0.0
