night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,976.953125
0,ss_max,last_30min,selfreport,976.445312
0,ss_max,last_hour,imu,997.773438
0,ss_max,last_hour,selfreport,976.953125
0,ss_max,total,imu,6500.9375
0,ss_max,total,selfreport,5832.148437
0,ss_max_60,last_30min,imu,976.953125
0,ss_max_60,last_30min,selfreport,976.445312
0,ss_max_60,last_hour,imu,997.773438
0,ss_max_60,last_hour,selfreport,976.953125
0,ss_max_60,total,imu,6500.9375
0,ss_max_60,total,selfreport,5832.148437
0,ss_max_position,last_30min,imu,0.1100266386223071
0,ss_max_position,last_30min,selfreport,0.0662981030005421
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.5330635120458875
0,ss_max_position,total,imu,0.0055145740085751
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,353.7656252
0,ss_mean,last_30min,selfreport,443.62304675
0,ss_mean,last_hour,imu,594.2317708333334
0,ss_mean,last_hour,selfreport,594.4010415
0,ss_mean,total,imu,501.730239
0,ss_mean,total,selfreport,505.2260889393939
0,ss_mean_60,last_30min,imu,436.25976575
0,ss_mean_60,last_30min,selfreport,583.5677079999999
0,ss_mean_60,last_hour,imu,708.3203123999999
0,ss_mean_60,last_hour,selfreport,708.5234373999999
0,ss_mean_60,total,imu,675.94218754
0,ss_mean_60,total,selfreport,674.0999680612244
0,ss_median,last_30min,imu,79.648438
0,ss_median,last_30min,selfreport,387.128906
0,ss_median,last_hour,imu,743.6132809999999
0,ss_median,last_hour,selfreport,783.4765625
0,ss_median,total,imu,153.7890625
0,ss_median,total,selfreport,153.7890625
0,ss_median_60,last_30min,imu,347.5195315
0,ss_median_60,last_30min,selfreport,694.101562
0,ss_median_60,last_hour,imu,871.835937
0,ss_median_60,last_hour,selfreport,872.34375
0,ss_median_60,total,imu,282.5195315
0,ss_median_60,total,selfreport,289.882813
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,6.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,68.0
0,ss_number,total,selfreport,66.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,50.0
0,ss_number_60,total,selfreport,49.0
0,ss_skewness,last_30min,imu,0.6640017568868899
0,ss_skewness,last_30min,selfreport,0.1696456743619293
0,ss_skewness,last_hour,imu,-0.45344294321435
0,ss_skewness,last_hour,selfreport,-0.5725414197302983
0,ss_skewness,total,imu,4.292008837616616
0,ss_skewness,total,selfreport,3.793475867424895
0,ss_skewness_60,last_30min,imu,0.316549906147721
0,ss_skewness_60,last_30min,selfreport,-0.4173433442942313
0,ss_skewness_60,last_hour,imu,-1.0017105586947015
0,ss_skewness_60,last_hour,selfreport,-1.218881166457126
0,ss_skewness_60,total,imu,3.820487478185152
0,ss_skewness_60,total,selfreport,3.3872444514041424
0,ss_std,last_30min,imu,424.1574239185687
0,ss_std,last_30min,selfreport,467.2642861019471
0,ss_std,last_hour,imu,441.8423615756735
0,ss_std,last_hour,selfreport,431.1874983171805
0,ss_std,total,imu,934.475045133549
0,ss_std,total,selfreport,882.3633939005736
0,ss_std_60,last_30min,imu,441.0337918116487
0,ss_std_60,last_30min,selfreport,458.2541001729062
0,ss_std_60,last_hour,imu,382.6347811260662
0,ss_std_60,last_hour,selfreport,367.0475637252116
0,ss_std_60,total,imu,1037.7742816764935
0,ss_std_60,total,selfreport,970.1680386973924
1,ss_max,last_30min,imu,1095.273437
1,ss_max,last_30min,selfreport,1283.164063
1,ss_max,last_hour,imu,2015.429688
1,ss_max,last_hour,selfreport,2015.429688
1,ss_max,total,imu,2809.648437
1,ss_max,total,selfreport,2809.140625
1,ss_max_60,last_30min,imu,1095.273437
1,ss_max_60,last_30min,selfreport,1283.164063
1,ss_max_60,last_hour,imu,2015.429688
1,ss_max_60,last_hour,selfreport,2015.429688
1,ss_max_60,total,imu,2809.648437
1,ss_max_60,total,selfreport,2809.140625
1,ss_max_position,last_30min,imu,0.3912998661351071
1,ss_max_position,last_30min,selfreport,0.2578573016536392
1,ss_max_position,last_hour,imu,0.1351349151645685
1,ss_max_position,last_hour,selfreport,0.0685548734550942
1,ss_max_position,total,imu,0.2894988738738738
1,ss_max_position,total,selfreport,0.2664379028545119
1,ss_mean,last_30min,imu,898.75
1,ss_mean,last_30min,selfreport,443.75000025
1,ss_mean,last_hour,imu,1198.528646
1,ss_mean,last_hour,selfreport,714.4140626000001
1,ss_mean,total,imu,477.19202902898553
1,ss_mean,total,selfreport,503.703613296875
1,ss_mean_60,last_30min,imu,898.75
1,ss_mean_60,last_30min,selfreport,872.5976565
1,ss_mean_60,last_hour,imu,1198.528646
1,ss_mean_60,last_hour,selfreport,1180.9244793333337
1,ss_mean_60,total,imu,770.9988839761905
1,ss_mean_60,total,selfreport,856.9995777837838
1,ss_median,last_30min,imu,898.75
1,ss_median,last_30min,selfreport,241.640625
1,ss_median,last_hour,imu,1095.78125
1,ss_median,last_hour,selfreport,244.179688
1,ss_median,total,imu,108.59375
1,ss_median,total,selfreport,113.6718755
1,ss_median_60,last_30min,imu,898.75
1,ss_median_60,last_30min,selfreport,872.5976565
1,ss_median_60,last_hour,imu,1095.78125
1,ss_median_60,last_hour,selfreport,1283.164062
1,ss_median_60,total,imu,431.5625
1,ss_median_60,total,selfreport,644.84375
1,ss_number,last_30min,imu,2.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,3.0
1,ss_number,last_hour,selfreport,5.0
1,ss_number,total,imu,69.0
1,ss_number,total,selfreport,64.0
1,ss_number_60,last_30min,imu,2.0
1,ss_number_60,last_30min,selfreport,2.0
1,ss_number_60,last_hour,imu,3.0
1,ss_number_60,last_hour,selfreport,3.0
1,ss_number_60,total,imu,42.0
1,ss_number_60,total,selfreport,37.0
1,ss_skewness,last_30min,imu,9.20276518299512e-16
1,ss_skewness,last_30min,selfreport,0.7804371572866801
1,ss_skewness,last_hour,imu,0.240571467046272
1,ss_skewness,last_hour,selfreport,0.6188525983802606
1,ss_skewness,total,imu,1.6302592221675882
1,ss_skewness,total,selfreport,1.5237114287137723
1,ss_skewness_60,last_30min,imu,9.20276518299512e-16
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,0.240571467046272
1,ss_skewness_60,last_hour,selfreport,-0.2082464498933776
1,ss_skewness_60,total,imu,0.9916168175898512
1,ss_skewness_60,total,selfreport,0.8467522031977652
1,ss_std,last_30min,imu,277.9261099295745
1,ss_std,last_30min,selfreport,598.0109761675249
1,ss_std,last_hour,imu,770.681441939716
1,ss_std,last_hour,selfreport,896.753813458016
1,ss_std,total,imu,700.7367623995619
1,ss_std,total,selfreport,717.2348626143851
1,ss_std_60,last_30min,imu,277.9261099295745
1,ss_std_60,last_30min,selfreport,580.6285803270852
1,ss_std_60,last_hour,imu,770.681441939716
1,ss_std_60,last_hour,selfreport,890.0400776498161
1,ss_std_60,total,imu,767.0059850835543
1,ss_std_60,total,selfreport,772.038064963775
