night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,3599.804688
0,ss_max,last_hour,selfreport,3599.804688
0,ss_max,total,imu,5879.882812
0,ss_max,total,selfreport,27899.648437
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,3599.804688
0,ss_max_60,last_hour,selfreport,3599.804688
0,ss_max_60,total,imu,5879.882812
0,ss_max_60,total,selfreport,27899.648437
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,3599.804688
0,ss_mean,last_hour,selfreport,3599.804688
0,ss_mean,total,imu,5879.882812
0,ss_mean,total,selfreport,27899.648437
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,3599.804688
0,ss_mean_60,last_hour,selfreport,3599.804688
0,ss_mean_60,total,imu,5879.882812
0,ss_mean_60,total,selfreport,27899.648437
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,3599.804688
0,ss_median,last_hour,selfreport,3599.804688
0,ss_median,total,imu,5879.882812
0,ss_median,total,selfreport,27899.648437
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,3599.804688
0,ss_median_60,last_hour,selfreport,3599.804688
0,ss_median_60,total,imu,5879.882812
0,ss_median_60,total,selfreport,27899.648437
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,1.0
0,ss_number,last_hour,selfreport,1.0
0,ss_number,total,imu,1.0
0,ss_number,total,selfreport,1.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,1.0
0,ss_number_60,last_hour,selfreport,1.0
0,ss_number_60,total,imu,1.0
0,ss_number_60,total,selfreport,1.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,0.0
0,ss_skewness,last_hour,selfreport,0.0
0,ss_skewness,total,imu,0.0
0,ss_skewness,total,selfreport,0.0
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,0.0
0,ss_skewness_60,total,imu,0.0
0,ss_skewness_60,total,selfreport,0.0
1,ss_max,last_30min,imu,1103.90625
1,ss_max,last_30min,selfreport,1103.90625
1,ss_max,last_hour,imu,1103.398438
1,ss_max,last_hour,selfreport,1103.90625
1,ss_max,total,imu,2777.148438
1,ss_max,total,selfreport,1104.921875
1,ss_max_60,last_30min,imu,1103.90625
1,ss_max_60,last_30min,selfreport,1103.90625
1,ss_max_60,last_hour,imu,1103.398438
1,ss_max_60,last_hour,selfreport,1103.90625
1,ss_max_60,total,imu,2777.148438
1,ss_max_60,total,selfreport,1104.921875
1,ss_max_position,last_30min,imu,0.255882464971196
1,ss_max_position,last_30min,selfreport,0.0640411457921276
1,ss_max_position,last_hour,imu,0.6279964952816036
1,ss_max_position,last_hour,selfreport,0.5319350366326577
1,ss_max_position,total,imu,0.0300926028610887
1,ss_max_position,total,selfreport,0.1434213773682711
1,ss_mean,last_30min,imu,252.01450900000003
1,ss_mean,last_30min,selfreport,136.48111966666667
1,ss_mean,last_hour,imu,221.6137695625
1,ss_mean,last_hour,selfreport,162.68787204761907
1,ss_mean,total,imu,419.6554338358209
1,ss_mean,total,selfreport,229.0820312307692
1,ss_mean_60,last_30min,imu,421.7871095
1,ss_mean_60,last_30min,selfreport,725.078125
1,ss_mean_60,last_hour,imu,311.6264205454545
1,ss_mean_60,last_hour,selfreport,294.26846590909093
