night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,789.570313
0,ss_max,last_hour,imu,1778.28125
0,ss_max,total,imu,3329.648438
0,ss_max_60,last_30min,imu,789.570313
0,ss_max_60,last_hour,imu,1778.28125
0,ss_max_60,total,imu,3329.648438
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,total,imu,0.1161644691533029
0,ss_mean,last_30min,imu,594.7395833333334
0,ss_mean,last_hour,imu,894.560547
0,ss_mean,total,imu,480.21396925373136
0,ss_mean_60,last_30min,imu,594.7395833333334
0,ss_mean_60,last_hour,imu,894.560547
0,ss_mean_60,total,imu,750.867745547619
0,ss_median,last_30min,imu,547.34375
0,ss_median,last_hour,imu,676.0742190000001
0,ss_median,total,imu,119.765625
0,ss_median_60,last_30min,imu,547.34375
0,ss_median_60,last_hour,imu,676.0742190000001
0,ss_median_60,total,imu,442.4804685
0,ss_number,last_30min,imu,3.0
0,ss_number,last_hour,imu,4.0
0,ss_number,total,imu,67.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,total,imu,42.0
0,ss_skewness,last_30min,imu,0.4588782422091297
0,ss_skewness,last_hour,imu,0.9560648813399264
0,ss_skewness,total,imu,2.094454856619074
0,ss_skewness_60,last_30min,imu,0.4588782422091297
0,ss_skewness_60,last_hour,imu,0.9560648813399264
0,ss_skewness_60,total,imu,1.5124567689351969
0,ss_std,last_30min,imu,175.9864013164478
0,ss_std,last_hour,imu,608.0465214528945
0,ss_std,total,imu,742.8127792573271
0,ss_std_60,last_30min,imu,175.9864013164478
0,ss_std_60,last_hour,imu,608.0465214528945
0,ss_std_60,total,imu,828.8479300556052
1,ss_max,last_30min,imu,818.515625
1,ss_max,last_hour,imu,1117.109375
1,ss_max,total,imu,2400.351562
1,ss_max_60,last_30min,imu,818.515625
1,ss_max_60,last_hour,imu,1117.109375
1,ss_max_60,total,imu,2400.351562
1,ss_max_position,last_30min,imu,0.5450550402569267
1,ss_max_position,last_hour,imu,0.1976242341112905
1,ss_max_position,total,imu,0.4087211179755447
1,ss_mean,last_30min,imu,128.00781253846156
1,ss_mean,last_hour,imu,247.15401792857145
1,ss_mean,total,imu,417.2938012459017
1,ss_mean_60,last_30min,imu,504.3489583333333
1,ss_mean_60,last_hour,imu,667.3906252
1,ss_mean_60,total,imu,612.9134908780488
1,ss_median,last_30min,imu,10.078125
1,ss_median,last_hour,imu,18.203125
1,ss_median,total,imu,170.546875
1,ss_median_60,last_30min,imu,413.28125
1,ss_median_60,last_hour,imu,706.289063
1,ss_median_60,total,imu,412.773438
1,ss_number,last_30min,imu,13.0
1,ss_number,last_hour,imu,14.0
1,ss_number,total,imu,61.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_hour,imu,5.0
1,ss_number_60,total,imu,41.0
1,ss_skewness,last_30min,imu,2.050595382929215
1,ss_skewness,last_hour,imu,1.27106520385964
1,ss_skewness,total,imu,2.101492430978972
1,ss_skewness_60,last_30min,imu,0.5343444106027938
1,ss_skewness_60,last_hour,imu,0.1569506334911672
1,ss_skewness_60,total,imu,1.67242321113792
1,ss_std,last_30min,imu,243.42871619454635
1,ss_std,last_hour,imu,373.7242507229595
1,ss_std,total,imu,605.8468142472693
1,ss_std_60,last_30min,imu,279.9706834250221
1,ss_std_60,last_hour,imu,331.8240155929708
1,ss_std_60,total,imu,656.3645620840683
