night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1560.9375
0,ss_max,last_30min,selfreport,1560.9375
0,ss_max,last_hour,imu,1560.9375
0,ss_max,last_hour,selfreport,1560.429687
0,ss_max,total,imu,2838.59375
0,ss_max,total,selfreport,2838.59375
0,ss_max_60,last_30min,imu,1560.9375
0,ss_max_60,last_30min,selfreport,1560.9375
0,ss_max_60,last_hour,imu,1560.9375
0,ss_max_60,last_hour,selfreport,1560.429687
0,ss_max_60,total,imu,2838.59375
0,ss_max_60,total,selfreport,2838.59375
0,ss_max_position,last_30min,imu,0.101280931727544
0,ss_max_position,last_30min,selfreport,0.0129775009584982
0,ss_max_position,last_hour,imu,0.5506959383601483
0,ss_max_position,last_hour,selfreport,0.5065443428904189
0,ss_max_position,total,imu,0.4669449254557462
0,ss_max_position,total,selfreport,0.4222122395666666
0,ss_mean,last_30min,imu,597.109375
0,ss_mean,last_30min,selfreport,442.98828125
0,ss_mean,last_hour,imu,509.983259
0,ss_mean,last_hour,selfreport,443.6865235
0,ss_mean,total,imu,663.7703450208334
0,ss_mean,total,selfreport,724.8304115853658
0,ss_mean_60,last_30min,imu,869.296875
0,ss_mean_60,last_30min,selfreport,862.441406
0,ss_mean_60,last_hour,imu,586.1914063333334
0,ss_mean_60,last_hour,selfreport,502.94642857142856
0,ss_mean_60,total,imu,787.996093725
0,ss_mean_60,total,selfreport,842.28125
0,ss_median,last_30min,imu,177.65625
0,ss_median,last_30min,selfreport,96.1523435
0,ss_median,last_hour,imu,407.1875
0,ss_median,last_hour,selfreport,335.5859375
0,ss_median,total,imu,440.703125
0,ss_median,total,selfreport,553.4375
0,ss_median_60,last_30min,imu,869.296875
0,ss_median_60,last_30min,selfreport,862.441406
0,ss_median_60,last_hour,imu,478.027344
0,ss_median_60,last_hour,selfreport,389.921875
0,ss_median_60,total,imu,595.8398440000001
0,ss_median_60,total,selfreport,631.640625
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,48.0
0,ss_number,total,selfreport,41.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,40.0
0,ss_number_60,total,selfreport,35.0
0,ss_skewness,last_30min,imu,0.689429362616804
0,ss_skewness,last_30min,selfreport,1.1281364809469938
0,ss_skewness,last_hour,imu,1.4273392587105722
0,ss_skewness,last_hour,selfreport,1.722423662902682
0,ss_skewness,total,imu,1.4735185331110578
0,ss_skewness,total,selfreport,1.385691706078766
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,-2.623490026347933e-16
0,ss_skewness_60,last_hour,imu,1.3821625565887148
0,ss_skewness_60,last_hour,selfreport,1.6681680262634442
0,ss_skewness_60,total,imu,1.353567782822397
0,ss_skewness_60,total,selfreport,1.3182544107382137
0,ss_std,last_30min,imu,837.0333682829739
0,ss_std,last_30min,selfreport,748.2432376985756
0,ss_std,last_hour,imu,502.2529072550441
0,ss_std,last_hour,selfreport,482.9882638575885
0,ss_std,total,imu,698.0176470936275
0,ss_std,total,selfreport,716.4476586656962
0,ss_std_60,last_30min,imu,978.127552163204
0,ss_std_60,last_30min,selfreport,987.8226493994324
0,ss_std_60,last_hour,imu,503.9097666919632
0,ss_std_60,last_hour,selfreport,489.26584553134086
0,ss_std_60,total,imu,701.5410264299483
0,ss_std_60,total,selfreport,711.8973623795632
1,ss_max,last_30min,imu,1041.445312
1,ss_max,last_30min,selfreport,1041.445313
1,ss_max,last_hour,imu,1579.21875
1,ss_max,last_hour,selfreport,1579.726562
1,ss_max,total,imu,2197.734375
1,ss_max,total,selfreport,2198.242188
1,ss_max_60,last_30min,imu,1041.445312
1,ss_max_60,last_30min,selfreport,1041.445313
1,ss_max_60,last_hour,imu,1579.21875
1,ss_max_60,last_hour,selfreport,1579.726562
1,ss_max_60,total,imu,2197.734375
1,ss_max_60,total,selfreport,2198.242188
1,ss_max_position,last_30min,imu,0.1695538715906166
1,ss_max_position,last_30min,selfreport,0.0507815254897757
1,ss_max_position,last_hour,imu,0.1440216581987538
1,ss_max_position,last_hour,selfreport,0.0844945869693449
1,ss_max_position,total,imu,0.682277934124689
1,ss_max_position,total,selfreport,0.6703676969927537
1,ss_mean,last_30min,imu,445.78124975
1,ss_mean,last_30min,selfreport,216.376953375
1,ss_mean,last_hour,imu,715.5312502
1,ss_mean,last_hour,selfreport,440.004882875
1,ss_mean,total,imu,554.38203124
1,ss_mean,total,selfreport,505.67491322222224
1,ss_mean_60,last_30min,imu,591.861979
1,ss_mean_60,last_30min,selfreport,563.5937503333333
1,ss_mean_60,last_hour,imu,892.529297
1,ss_mean_60,last_hour,selfreport,871.328125
1,ss_mean_60,total,imu,688.972656275
1,ss_mean_60,total,selfreport,677.87695315
1,ss_median,last_30min,imu,367.0703125
1,ss_median,last_30min,selfreport,11.601563
1,ss_median,last_hour,imu,512.8125
1,ss_median,last_hour,selfreport,157.089844
1,ss_median,total,imu,343.7109375
1,ss_median,total,selfreport,304.609375
1,ss_median_60,last_30min,imu,436.640625
1,ss_median_60,last_30min,selfreport,565.625
1,ss_median_60,last_hour,imu,777.1289065
1,ss_median_60,last_hour,selfreport,803.28125
1,ss_median_60,total,imu,432.070313
1,ss_median_60,total,selfreport,427.753906
1,ss_number,last_30min,imu,4.0
1,ss_number,last_30min,selfreport,8.0
1,ss_number,last_hour,imu,5.0
1,ss_number,last_hour,selfreport,8.0
1,ss_number,total,imu,50.0
1,ss_number,total,selfreport,54.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,3.0
1,ss_number_60,last_hour,imu,4.0
1,ss_number_60,last_hour,selfreport,4.0
1,ss_number_60,total,imu,40.0
1,ss_number_60,total,selfreport,40.0
1,ss_skewness,last_30min,imu,0.5775347516505475
1,ss_skewness,last_30min,selfreport,1.4901183109134757
1,ss_skewness,last_hour,imu,0.3679720414339508
1,ss_skewness,last_hour,selfreport,1.0209422122750038
1,ss_skewness,total,imu,1.2693728049179411
1,ss_skewness,total,selfreport,1.4094124143058022
1,ss_skewness_60,last_30min,imu,0.6099355247189642
1,ss_skewness_60,last_30min,selfreport,-0.007792456229855
1,ss_skewness_60,last_hour,imu,0.4567051883757272
1,ss_skewness_60,last_hour,selfreport,0.3105752966192683
1,ss_skewness_60,total,imu,1.0849945745225569
1,ss_skewness_60,total,selfreport,1.1438386523788082
1,ss_std,last_30min,imu,435.48546482759537
