night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,885.039062
0,ss_max,last_hour,imu,1153.671875
0,ss_max,total,imu,3717.109375
0,ss_max_60,last_30min,imu,885.039062
0,ss_max_60,last_hour,imu,1153.671875
0,ss_max_60,total,imu,3717.109375
0,ss_max_position,last_30min,imu,0.1122835953119954
0,ss_max_position,last_hour,imu,0.2237202249588102
0,ss_max_position,total,imu,0.384929617142317
0,ss_mean,last_30min,imu,194.92187488888885
0,ss_mean,last_hour,imu,295.1725261666667
0,ss_mean,total,imu,318.4995403235294
0,ss_mean_60,last_30min,imu,527.3697913333333
0,ss_mean_60,last_hour,imu,671.25
0,ss_mean_60,total,imu,798.6328123076922
0,ss_median,last_30min,imu,40.546875
0,ss_median,last_hour,imu,44.355469
0,ss_median,total,imu,40.800781
0,ss_median_60,last_30min,imu,538.203125
0,ss_median_60,last_hour,imu,563.59375
0,ss_median_60,total,imu,819.023437
0,ss_number,last_30min,imu,9.0
0,ss_number,last_hour,imu,12.0
0,ss_number,total,imu,34.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,total,imu,13.0
0,ss_skewness,last_30min,imu,1.5370836535590977
0,ss_skewness,last_hour,imu,1.1189912903076045
0,ss_skewness,total,imu,3.6443025396053086
0,ss_skewness_60,last_30min,imu,-0.0547467199981099
0,ss_skewness_60,last_hour,imu,0.1464760514233953
0,ss_skewness_60,total,imu,2.232126926123422
0,ss_std,last_30min,imu,308.67952031204345
0,ss_std,last_hour,imu,396.3674750706176
0,ss_std,total,imu,697.3894637769494
0,ss_std_60,last_30min,imu,363.2071294027747
0,ss_std_60,last_hour,imu,358.65585740072834
0,ss_std_60,total,imu,965.7661435749268
