night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1008.945312
0,ss_max,last_30min,selfreport,365.546875
0,ss_max,last_hour,imu,1008.4375
0,ss_max,last_hour,selfreport,406.171875
0,ss_max,total,imu,3774.492187
0,ss_max,total,selfreport,1008.945313
0,ss_max_60,last_30min,imu,1008.945312
0,ss_max_60,last_30min,selfreport,365.546875
0,ss_max_60,last_hour,imu,1008.4375
0,ss_max_60,last_hour,selfreport,406.171875
0,ss_max_60,total,imu,3774.492187
0,ss_max_60,total,selfreport,1008.945313
0,ss_max_position,last_30min,imu,0.0533206020716665
0,ss_max_position,last_30min,selfreport,0.2398016481461634
0,ss_max_position,last_hour,imu,0.5267158385852443
0,ss_max_position,last_hour,selfreport,0.3288094857846191
0,ss_max_position,total,imu,0.1956281873310016
0,ss_max_position,total,selfreport,0.2785211351569635
0,ss_mean,last_30min,imu,352.75
0,ss_mean,last_30min,selfreport,46.68678987878788
0,ss_mean,last_hour,imu,394.3229166666667
0,ss_mean,last_hour,selfreport,42.077268753424654
0,ss_mean,total,imu,518.4435763777777
0,ss_mean,total,selfreport,82.95862272839507
0,ss_mean_60,last_30min,imu,352.75
0,ss_mean_60,last_30min,selfreport,174.75446457142857
0,ss_mean_60,last_hour,imu,498.95647314285713
0,ss_mean_60,last_hour,selfreport,227.6249998
0,ss_mean_60,total,imu,718.95263671875
0,ss_mean_60,total,selfreport,312.8947369473684
0,ss_median,last_30min,imu,233.515625
0,ss_median,last_30min,selfreport,8.046875
0,ss_median,last_hour,imu,233.515625
0,ss_median,last_hour,selfreport,10.078125
0,ss_median,total,imu,168.007813
0,ss_median,total,selfreport,11.09375
0,ss_median_60,last_30min,imu,233.515625
0,ss_median_60,last_30min,selfreport,144.648438
0,ss_median_60,last_hour,imu,301.5625
0,ss_median_60,last_hour,selfreport,187.558594
0,ss_median_60,total,imu,387.890625
0,ss_median_60,total,selfreport,212.1875
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,33.0
0,ss_number,last_hour,imu,9.0
0,ss_number,last_hour,selfreport,73.0
0,ss_number,total,imu,45.0
0,ss_number,total,selfreport,81.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,7.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,32.0
0,ss_number_60,total,selfreport,19.0
0,ss_skewness,last_30min,imu,1.3185446309538011
0,ss_skewness,last_30min,selfreport,2.5022395861389453
0,ss_skewness,last_hour,imu,0.6931336643313211
0,ss_skewness,last_hour,selfreport,3.0348668689482854
0,ss_skewness,total,imu,2.433862748677724
0,ss_skewness,total,selfreport,3.498024682213318
0,ss_skewness_60,last_30min,imu,1.3185446309538011
0,ss_skewness_60,last_30min,selfreport,1.258755120061815
0,ss_skewness_60,last_hour,imu,0.4472623396758793
0,ss_skewness_60,last_hour,selfreport,0.2202422959862418
0,ss_skewness_60,total,imu,2.083496752319297
0,ss_skewness_60,total,selfreport,1.5272325802283184
0,ss_std,last_30min,imu,376.2954697600589
0,ss_std,last_30min,selfreport,79.3042917981589
0,ss_std,last_hour,imu,379.5293768284299
0,ss_std,last_hour,selfreport,86.71403352984898
0,ss_std,total,imu,754.0494023888224
0,ss_std,total,selfreport,183.01618353888813
0,ss_std_60,last_30min,imu,376.2954697600589
0,ss_std_60,last_30min,selfreport,93.61199598343872
0,ss_std_60,last_hour,imu,366.83431080742565
0,ss_std_60,last_hour,selfreport,123.2654801363883
0,ss_std_60,total,imu,814.4280441734458
0,ss_std_60,total,selfreport,275.0853665614742
1,ss_max,last_30min,imu,257.890625
1,ss_max,last_30min,selfreport,258.90625
1,ss_max,last_hour,imu,432.578125
1,ss_max,last_hour,selfreport,432.070312
1,ss_max,total,imu,2633.945312
1,ss_max,total,selfreport,1303.476562
1,ss_max_60,last_30min,imu,257.890625
1,ss_max_60,last_30min,selfreport,258.90625
1,ss_max_60,last_hour,imu,432.578125
1,ss_max_60,last_hour,selfreport,432.070312
1,ss_max_60,total,imu,2633.945312
1,ss_max_60,total,selfreport,1303.476562
1,ss_max_position,last_30min,imu,0.8565150632608849
1,ss_max_position,last_30min,selfreport,0.7436672288391609
1,ss_max_position,last_hour,imu,0.3898882103495483
