night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1569.570313
0,ss_max,last_30min,selfreport,1550.273438
0,ss_max,last_hour,imu,1569.0625
0,ss_max,last_hour,selfreport,1569.0625
0,ss_max,total,imu,2659.335937
0,ss_max,total,selfreport,3618.085937
0,ss_max_60,last_30min,imu,1569.570313
0,ss_max_60,last_30min,selfreport,1550.273438
0,ss_max_60,last_hour,imu,1569.0625
0,ss_max_60,last_hour,selfreport,1569.0625
0,ss_max_60,total,imu,2659.335937
0,ss_max_60,total,selfreport,3618.085937
0,ss_max_position,last_30min,imu,0.0899961477235437
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.5450535619425239
0,ss_max_position,last_hour,selfreport,0.4948364116882111
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,356.1015628
0,ss_mean,last_30min,selfreport,444.511719
0,ss_mean,last_hour,imu,350.8710936
0,ss_mean,last_hour,selfreport,318.9204546363637
0,ss_mean,total,imu,610.7982336956521
0,ss_mean,total,selfreport,608.7361654166667
0,ss_mean_60,last_30min,imu,586.4453126666666
0,ss_mean_60,last_30min,selfreport,865.2343754999999
0,ss_mean_60,last_hour,imu,491.0491071428572
0,ss_mean_60,last_hour,selfreport,564.9479168333334
0,ss_mean_60,total,imu,773.71527775
0,ss_mean_60,total,selfreport,803.5774740277778
0,ss_median,last_30min,imu,61.875
0,ss_median,last_30min,selfreport,107.5781255
0,ss_median,last_hour,imu,154.296875
0,ss_median,last_hour,selfreport,180.703125
0,ss_median,total,imu,354.12109350000003
0,ss_median,total,selfreport,330.507812
0,ss_median_60,last_30min,imu,127.890625
0,ss_median_60,last_30min,selfreport,865.2343754999999
0,ss_median_60,last_hour,imu,372.65625
0,ss_median_60,last_hour,selfreport,392.96875
0,ss_median_60,total,imu,407.695313
0,ss_median_60,total,selfreport,407.6953125
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,46.0
0,ss_number,total,selfreport,48.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,6.0
