night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,892.148438
0,ss_max,last_30min,selfreport,892.148437
0,ss_max,last_hour,imu,1184.648438
0,ss_max,last_hour,selfreport,1036.367188
0,ss_max,total,imu,1858.007813
0,ss_max,total,selfreport,1858.007812
0,ss_max_60,last_30min,imu,892.148438
0,ss_max_60,last_30min,selfreport,892.148437
0,ss_max_60,last_hour,imu,1184.648438
0,ss_max_60,last_hour,selfreport,1036.367188
0,ss_max_60,total,imu,1858.007813
0,ss_max_60,total,selfreport,1858.007812
0,ss_max_position,last_30min,imu,0.1974837103477306
0,ss_max_position,last_30min,selfreport,0.1148226718018834
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.8105736082676781
0,ss_max_position,total,selfreport,0.791935072245136
0,ss_mean,last_30min,imu,355.59375000000006
0,ss_mean,last_30min,selfreport,347.1640624
0,ss_mean,last_hour,imu,594.0625001666667
0,ss_mean,last_hour,selfreport,587.0377605
0,ss_mean,total,imu,312.36455496739126
0,ss_mean,total,selfreport,555.2718431020409
0,ss_mean_60,last_30min,imu,442.73437500000006
0,ss_mean_60,last_30min,selfreport,432.3242185
0,ss_mean_60,last_hour,imu,711.5703128000001
0,ss_mean_60,last_hour,selfreport,703.1406251999999
0,ss_mean_60,total,imu,702.4550781
0,ss_mean_60,total,selfreport,712.0888157894736
0,ss_median,last_30min,imu,345.742188
0,ss_median,last_30min,selfreport,196.953125
0,ss_median,last_hour,imu,619.4531255
0,ss_median,last_hour,selfreport,672.5195315000001
0,ss_median,total,imu,25.058594
0,ss_median,total,selfreport,415.820312
0,ss_median_60,last_30min,imu,346.25
0,ss_median_60,last_30min,selfreport,325.17578100000003
0,ss_median_60,last_hour,imu,892.148438
0,ss_median_60,last_hour,selfreport,892.148438
0,ss_median_60,total,imu,722.539063
0,ss_median_60,total,selfreport,722.539062
0,ss_number,last_30min,imu,5.0
