night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,647.382813
0,ss_max,last_30min,selfreport,1388.28125
0,ss_max,last_hour,imu,1672.65625
0,ss_max,last_hour,selfreport,1388.28125
0,ss_max,total,imu,3117.890625
0,ss_max,total,selfreport,3117.890625
0,ss_max_60,last_30min,imu,647.382813
0,ss_max_60,last_30min,selfreport,1388.28125
0,ss_max_60,last_hour,imu,1672.65625
0,ss_max_60,last_hour,selfreport,1388.28125
0,ss_max_60,total,imu,3117.890625
0,ss_max_60,total,selfreport,3117.890625
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.228516864703991
0,ss_max_position,last_hour,imu,0.2151156010010677
0,ss_max_position,last_hour,selfreport,0.6143137324371103
0,ss_max_position,total,imu,0.1383591737095741
0,ss_max_position,total,selfreport,0.2974826517393921
0,ss_mean,last_30min,imu,253.610491
0,ss_mean,last_30min,selfreport,597.6171876666666
0,ss_mean,last_hour,imu,295.04557300000005
0,ss_mean,last_hour,selfreport,596.0091145
0,ss_mean,total,imu,589.1724536851851
0,ss_mean,total,selfreport,440.07440483333335
0,ss_mean_60,last_30min,imu,294.1145833333333
0,ss_mean_60,last_30min,selfreport,597.6171876666666
0,ss_mean_60,last_hour,imu,352.5468751
0,ss_mean_60,last_hour,selfreport,596.0091145
0,ss_mean_60,total,imu,734.159702
0,ss_mean_60,total,selfreport,699.2773438076923
0,ss_median,last_30min,imu,160.898437
0,ss_median,last_30min,selfreport,213.203125
0,ss_median,last_hour,imu,142.3632815
0,ss_median,last_hour,selfreport,550.8984375
0,ss_median,total,imu,268.808594
0,ss_median,total,selfreport,120.0195315
0,ss_median_60,last_30min,imu,165.722656
0,ss_median_60,last_30min,selfreport,213.203125
0,ss_median_60,last_hour,imu,165.9765625
0,ss_median_60,last_hour,selfreport,550.8984375
0,ss_median_60,total,imu,366.054687
0,ss_median_60,total,selfreport,292.167969
0,ss_number,last_30min,imu,7.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,12.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,54.0
0,ss_number,total,selfreport,42.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,43.0
0,ss_number_60,total,selfreport,26.0
0,ss_skewness,last_30min,imu,0.809549579490113
0,ss_skewness,last_30min,selfreport,0.7062980959236902
