night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1027.226562
0,ss_max,last_30min,selfreport,1147.070312
0,ss_max,last_hour,imu,1027.226563
0,ss_max,last_hour,selfreport,1147.070312
0,ss_max,total,imu,3404.296875
0,ss_max,total,selfreport,3404.296875
0,ss_max_60,last_30min,imu,1027.226562
0,ss_max_60,last_30min,selfreport,1147.070312
0,ss_max_60,last_hour,imu,1027.226563
0,ss_max_60,last_hour,selfreport,1147.070312
0,ss_max_60,total,imu,3404.296875
0,ss_max_60,total,selfreport,3404.296875
0,ss_max_position,last_30min,imu,0.4291038909047769
0,ss_max_position,last_30min,selfreport,0.3326189922358106
0,ss_max_position,last_hour,imu,0.7146069732921392
0,ss_max_position,last_hour,selfreport,0.666223595464836
0,ss_max_position,total,imu,0.5829438348039246
0,ss_max_position,total,selfreport,0.5433805338333333
0,ss_mean,last_30min,imu,895.703125
0,ss_mean,last_30min,selfreport,444.5117185
0,ss_mean,last_hour,imu,394.04079866666666
0,ss_mean,last_hour,selfreport,321.2286932727273
0,ss_mean,total,imu,511.92890626
0,ss_mean,total,selfreport,721.4003314545455
0,ss_mean_60,last_30min,imu,895.703125
0,ss_mean_60,last_30min,selfreport,868.535156
0,ss_mean_60,last_hour,imu,441.147461
0,ss_mean_60,last_hour,selfreport,488.9453125714286
0,ss_mean_60,total,imu,811.8649193870967
0,ss_mean_60,total,selfreport,909.3359375
0,ss_median,last_30min,imu,895.703125
0,ss_median,last_30min,selfreport,310.44921850000003
0,ss_median,last_hour,imu,275.15625
0,ss_median,last_hour,selfreport,210.15625
0,ss_median,total,imu,219.2968745
0,ss_median,total,selfreport,404.648438
0,ss_median_60,last_30min,imu,895.703125
0,ss_median_60,last_30min,selfreport,868.535156
0,ss_median_60,last_hour,imu,339.90234350000003
0,ss_median_60,last_hour,selfreport,404.648437
0,ss_median_60,total,imu,542.265625
0,ss_median_60,total,selfreport,608.0273434999999
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,9.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,50.0
0,ss_number,total,selfreport,33.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,31.0
0,ss_number_60,total,selfreport,26.0
0,ss_skewness,last_30min,imu,1.3303749008245905e-15
0,ss_skewness,last_30min,selfreport,0.4819885732807881
0,ss_skewness,last_hour,imu,0.868661020351706
0,ss_skewness,last_hour,selfreport,1.2047843014235076
0,ss_skewness,total,imu,2.0868334466278715
0,ss_skewness,total,selfreport,1.6275554404086956
0,ss_skewness_60,last_30min,imu,1.3303749008245905e-15
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.9071657505283436
0,ss_skewness_60,last_hour,selfreport,0.8925607225796555
0,ss_skewness_60,total,imu,1.6358155917889392
0,ss_skewness_60,total,selfreport,1.501910295549282
0,ss_std,last_30min,imu,186.0022283753233
0,ss_std,last_30min,selfreport,539.9271281537423
0,ss_std,last_hour,imu,323.3949839707656
0,ss_std,last_hour,selfreport,362.26577036441546
0,ss_std,total,imu,729.9431640415577
0,ss_std,total,selfreport,811.6759442355731
0,ss_std_60,last_30min,imu,186.0022283753233
0,ss_std_60,last_30min,selfreport,393.9081952129058
0,ss_std_60,last_hour,imu,310.967112513336
0,ss_std_60,last_hour,selfreport,358.1907221826312
0,ss_std_60,total,imu,790.8798272798027
0,ss_std_60,total,selfreport,818.5578582250369
