night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,955.625
0,ss_max,last_30min,selfreport,1103.398437
0,ss_max,last_hour,imu,1102.890625
0,ss_max,last_hour,selfreport,1451.757813
0,ss_max,total,imu,4083.242187
0,ss_max,total,selfreport,4083.242187
0,ss_max_60,last_30min,imu,955.625
0,ss_max_60,last_30min,selfreport,1103.398437
0,ss_max_60,last_hour,imu,1102.890625
0,ss_max_60,last_hour,selfreport,1451.757813
0,ss_max_60,total,imu,4083.242187
0,ss_max_60,total,selfreport,4083.242187
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.3173845345888779
0,ss_max_position,last_hour,imu,0.4590073215737507
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.4376653637720409
0,ss_max_position,total,selfreport,0.4197523013565891
0,ss_mean,last_30min,imu,595.5859373333334
0,ss_mean,last_30min,selfreport,594.4010416666666
0,ss_mean,last_hour,imu,594.5703123333333
0,ss_mean,last_hour,selfreport,714.9218751999999
0,ss_mean,total,imu,612.4565972
0,ss_mean,total,selfreport,1026.35312496
0,ss_mean_60,last_30min,imu,595.5859373333334
0,ss_mean_60,last_30min,selfreport,594.4010416666666
0,ss_mean_60,last_hour,imu,594.5703123333333
0,ss_mean_60,last_hour,selfreport,714.9218751999999
0,ss_mean_60,total,imu,1136.131184875
0,ss_mean_60,total,selfreport,1278.1875
0,ss_median,last_30min,imu,457.96875
0,ss_median,last_30min,selfreport,560.039063
0,ss_median,last_hour,imu,517.6367185
0,ss_median,last_hour,selfreport,576.796875
0,ss_median,total,imu,114.179687
0,ss_median,total,selfreport,576.796875
0,ss_median_60,last_30min,imu,457.96875
0,ss_median_60,last_30min,selfreport,560.039063
0,ss_median_60,last_hour,imu,517.6367185
0,ss_median_60,last_hour,selfreport,576.796875
0,ss_median_60,total,imu,677.5976559999999
0,ss_median_60,total,selfreport,914.7460935
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,6.0
0,ss_number,last_hour,selfreport,5.0
0,ss_number,total,imu,45.0
0,ss_number,total,selfreport,25.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,24.0
0,ss_number_60,total,selfreport,20.0
0,ss_skewness,last_30min,imu,0.6497683133591824
0,ss_skewness,last_30min,selfreport,0.1274973272136395
0,ss_skewness,last_hour,imu,0.909551579378599
0,ss_skewness,last_hour,selfreport,0.3069452745896604
0,ss_skewness,total,imu,1.9521974384804104
0,ss_skewness,total,selfreport,1.2151959064459994
0,ss_skewness_60,last_30min,imu,0.6497683133591824
0,ss_skewness_60,last_30min,selfreport,0.1274973272136395
0,ss_skewness_60,last_hour,imu,0.909551579378599
0,ss_skewness_60,last_hour,selfreport,0.3069452745896604
0,ss_skewness_60,total,imu,1.2765111254798074
0,ss_skewness_60,total,selfreport,1.060657381876008
0,ss_std,last_30min,imu,314.6729314083327
0,ss_std,last_30min,selfreport,492.71587796028376
0,ss_std,last_hour,imu,289.4340591473433
0,ss_std,last_hour,selfreport,552.2741687251581
0,ss_std,total,imu,948.5394460732184
0,ss_std,total,selfreport,1101.5068023265017
0,ss_std_60,last_30min,imu,314.6729314083327
0,ss_std_60,last_30min,selfreport,492.71587796028376
0,ss_std_60,last_hour,imu,289.4340591473433
0,ss_std_60,last_hour,selfreport,552.2741687251581
0,ss_std_60,total,imu,1052.5618244974137
0,ss_std_60,total,selfreport,1094.8667403016912
