night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1027.226563
0,ss_max,last_30min,selfreport,1031.289062
0,ss_max,last_hour,imu,1125.742188
0,ss_max,last_hour,selfreport,1125.742187
0,ss_max,total,imu,1830.585938
0,ss_max,total,selfreport,1830.585938
0,ss_max_60,last_30min,imu,1027.226563
0,ss_max_60,last_30min,selfreport,1031.289062
0,ss_max_60,last_hour,imu,1125.742188
0,ss_max_60,last_hour,selfreport,1125.742187
0,ss_max_60,total,imu,1830.585938
0,ss_max_60,total,selfreport,1830.585938
0,ss_max_position,last_30min,imu,0.4291038903492184
0,ss_max_position,last_30min,selfreport,0.2502400732469751
0,ss_max_position,last_hour,imu,0.3976464778931953
0,ss_max_position,last_hour,selfreport,0.308214811951626
0,ss_max_position,total,imu,0.5588509242489247
0,ss_max_position,total,selfreport,0.3986865253930909
0,ss_mean,last_30min,imu,892.402344
0,ss_mean,last_30min,selfreport,242.0758928571429
0,ss_mean,last_hour,imu,393.7022568888889
0,ss_mean,last_hour,selfreport,266.21093738461536
0,ss_mean,total,imu,391.1021959189189
0,ss_mean,total,selfreport,308.1422990285714
0,ss_mean_60,last_30min,imu,892.402344
0,ss_mean_60,last_30min,selfreport,549.8828123333334
0,ss_mean_60,last_hour,imu,583.90625
0,ss_mean_60,last_hour,selfreport,483.8671874285714
0,ss_mean_60,total,imu,508.4779575714286
0,ss_mean_60,total,selfreport,438.936360625
0,ss_median,last_30min,imu,892.402344
0,ss_median,last_30min,selfreport,14.648438
0,ss_median,last_hour,imu,306.640625
0,ss_median,last_hour,selfreport,182.734375
0,ss_median,total,imu,256.875
0,ss_median,total,selfreport,181.2109375
0,ss_median_60,last_30min,imu,892.402344
0,ss_median_60,last_30min,selfreport,435.117188
0,ss_median_60,last_hour,imu,416.8359375
0,ss_median_60,last_hour,selfreport,306.132812
0,ss_median_60,total,imu,375.957031
0,ss_median_60,total,selfreport,309.94140600000003
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,9.0
0,ss_number,last_hour,selfreport,13.0
0,ss_number,total,imu,74.0
0,ss_number,total,selfreport,70.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,56.0
0,ss_number_60,total,selfreport,48.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,1.4478918637060136
0,ss_skewness,last_hour,imu,0.8303128580379113
0,ss_skewness,last_hour,selfreport,1.562038888156814
0,ss_skewness,total,imu,1.3686449552915554
0,ss_skewness,total,selfreport,1.9425001409242093
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.4504934727478403
0,ss_skewness_60,last_hour,imu,0.5384712670577004
0,ss_skewness_60,last_hour,selfreport,0.9177638617142552
0,ss_skewness_60,total,imu,1.1819656429389196
0,ss_skewness_60,total,selfreport,1.6650486744515192
0,ss_std,last_30min,imu,190.67023904616028
0,ss_std,last_30min,selfreport,382.276180281635
0,ss_std,last_hour,imu,423.5718757803604
0,ss_std,last_hour,selfreport,379.3157432929152
0,ss_std,total,imu,417.1192078598543
0,ss_std,total,selfreport,383.37098601719634
0,ss_std_60,last_30min,imu,190.67023904616028
0,ss_std_60,last_30min,selfreport,435.5160581950811
0,ss_std_60,last_hour,imu,395.9728982027408
0,ss_std_60,last_hour,selfreport,409.849467213602
0,ss_std_60,total,imu,416.10447028338194
0,ss_std_60,total,selfreport,400.02630021657785
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_30min,selfreport,1761.523438
1,ss_max,last_hour,imu,2959.960938
1,ss_max,last_hour,selfreport,3561.71875
1,ss_max,total,imu,2959.960938
1,ss_max,total,selfreport,86495.84961
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_30min,selfreport,1761.523438
1,ss_max_60,last_hour,imu,2959.960938
1,ss_max_60,last_hour,selfreport,3561.71875
1,ss_max_60,total,imu,2959.960938
1,ss_max_60,total,selfreport,86495.84961
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.1777348571057999
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.9099697289233576
1,ss_max_position,total,selfreport,0.2204134994324324
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_30min,selfreport,896.71875
1,ss_mean,last_hour,imu,346.75781240000003
1,ss_mean,last_hour,selfreport,1796.8164065
1,ss_mean,total,imu,372.8806322906977
1,ss_mean,total,selfreport,2085.2916789056603
1,ss_mean_60,last_30min,imu,1799.609375
1,ss_mean_60,last_30min,selfreport,1761.523438
1,ss_mean_60,last_hour,imu,1114.0625
1,ss_mean_60,last_hour,selfreport,3561.71875
1,ss_mean_60,total,imu,680.3575068043478
1,ss_mean_60,total,selfreport,3552.192225225807
1,ss_median,last_30min,imu,1799.609375
1,ss_median,last_30min,selfreport,896.71875
1,ss_median,last_hour,imu,21.2499995
1,ss_median,last_hour,selfreport,1796.8164065
1,ss_median,total,imu,67.9687505
1,ss_median,total,selfreport,188.320312
1,ss_median_60,last_30min,imu,1799.609375
1,ss_median_60,last_30min,selfreport,1761.523438
1,ss_median_60,last_hour,imu,193.398437
1,ss_median_60,last_hour,selfreport,3561.71875
1,ss_median_60,total,imu,466.0937505
1,ss_median_60,total,selfreport,614.375
1,ss_number,last_30min,imu,1.0
1,ss_number,last_30min,selfreport,2.0
1,ss_number,last_hour,imu,10.0
1,ss_number,last_hour,selfreport,2.0
1,ss_number,total,imu,86.0
1,ss_number,total,selfreport,53.0
1,ss_number_60,last_30min,imu,1.0
1,ss_number_60,last_30min,selfreport,1.0
1,ss_number_60,last_hour,imu,3.0
1,ss_number_60,last_hour,selfreport,1.0
1,ss_number_60,total,imu,46.0
1,ss_number_60,total,selfreport,31.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_30min,selfreport,0.0
1,ss_skewness,last_hour,imu,2.6366217440971123
1,ss_skewness,last_hour,selfreport,-2.6021318976793513e-16
1,ss_skewness,total,imu,2.2618311093724865
1,ss_skewness,total,selfreport,7.031234803184201
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,0.7071002791246843
1,ss_skewness_60,last_hour,selfreport,0.0
1,ss_skewness_60,total,imu,1.5329713537351146
1,ss_skewness_60,total,selfreport,5.27097312101444
1,ss_std,last_30min,selfreport,1223.0185185734329
1,ss_std,last_hour,imu,921.0243657295064
1,ss_std,last_hour,selfreport,2495.948830441759
1,ss_std,total,imu,599.9028007559114
1,ss_std,total,selfreport,11840.182218233636
1,ss_std_60,last_hour,imu,1598.5965734030815
1,ss_std_60,total,imu,686.924262107701
1,ss_std_60,total,selfreport,15415.546875739305
