night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,794.140625
0,ss_max,last_30min,selfreport,794.140625
0,ss_max,last_hour,imu,794.648437
0,ss_max,last_hour,selfreport,794.648437
0,ss_max,total,imu,2732.460937
0,ss_max,total,selfreport,2732.460938
0,ss_max_60,last_30min,imu,794.140625
0,ss_max_60,last_30min,selfreport,794.140625
0,ss_max_60,last_hour,imu,794.648437
0,ss_max_60,last_hour,selfreport,794.648437
0,ss_max_60,total,imu,2732.460937
0,ss_max_60,total,selfreport,2732.460938
0,ss_max_position,last_30min,imu,0.5447729209486517
0,ss_max_position,last_30min,selfreport,0.5439265622148926
0,ss_max_position,last_hour,imu,0.7723002720867103
0,ss_max_position,last_hour,selfreport,0.7718770939310275
0,ss_max_position,total,imu,0.7347095991035857
0,ss_max_position,total,selfreport,0.7351994561506402
0,ss_mean,last_30min,imu,432.578125
0,ss_mean,last_30min,selfreport,432.3242185
0,ss_mean,last_hour,imu,349.7031249
0,ss_mean,last_hour,selfreport,349.4999999
0,ss_mean,total,imu,528.4095981964285
0,ss_mean,total,selfreport,520.2336897192982
0,ss_mean_60,last_30min,imu,574.5963543333334
0,ss_mean_60,last_30min,selfreport,574.2578123333334
0,ss_mean_60,last_hour,imu,435.751953
0,ss_mean_60,last_hour,selfreport,435.49804675
0,ss_mean_60,total,imu,654.1536458222222
0,ss_mean_60,total,selfreport,655.4513889111112
0,ss_median,last_30min,imu,464.824219
0,ss_median,last_30min,selfreport,464.316406
0,ss_median,last_hour,imu,279.47265600000003
0,ss_median,last_hour,selfreport,279.21875
0,ss_median,total,imu,249.5117185
0,ss_median,total,selfreport,248.242188
0,ss_median_60,last_30min,imu,507.226563
0,ss_median_60,last_30min,selfreport,505.703125
0,ss_median_60,last_hour,imu,449.5898435
0,ss_median_60,last_hour,selfreport,449.3359375
0,ss_median_60,total,imu,422.929688
0,ss_median_60,total,selfreport,422.421875
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,56.0
0,ss_number,total,selfreport,57.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,45.0
0,ss_number_60,total,selfreport,45.0
0,ss_skewness,last_30min,imu,-0.3308843233764246
0,ss_skewness,last_30min,selfreport,-0.328826377421192
0,ss_skewness,last_hour,imu,0.2748646081816438
0,ss_skewness,last_hour,selfreport,0.2750967152954653
0,ss_skewness,total,imu,1.982291124558668
0,ss_skewness,total,selfreport,1.9914665755863288
0,ss_skewness_60,last_30min,imu,0.5593548728342294
0,ss_skewness_60,last_30min,selfreport,0.5663071514105087
0,ss_skewness_60,last_hour,imu,-0.0397959609233738
0,ss_skewness_60,last_hour,selfreport,-0.0402368815724107
0,ss_skewness_60,total,imu,1.7996951565146455
0,ss_skewness_60,total,selfreport,1.7901056096453338
0,ss_std,last_30min,imu,325.5383117662854
0,ss_std,last_30min,selfreport,325.4177513493613
0,ss_std,last_hour,imu,318.30936192690905
0,ss_std,last_hour,selfreport,318.32947080809635
0,ss_std,total,imu,671.0848653741477
0,ss_std,total,selfreport,669.4082128541329
0,ss_std_60,last_30min,imu,194.80175528884047
0,ss_std_60,last_30min,selfreport,194.86969746278737
0,ss_std_60,last_hour,imu,296.5783684844866
0,ss_std_60,last_hour,selfreport,296.690264089144
0,ss_std_60,total,imu,693.2472556325581
0,ss_std_60,total,selfreport,693.8789874850968
