night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1001.328125
0,ss_max,last_hour,imu,1140.976562
0,ss_max,total,imu,2008.320313
0,ss_max_60,last_30min,imu,1001.328125
0,ss_max_60,last_hour,imu,1140.976562
0,ss_max_60,total,imu,2008.320313
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_hour,imu,0.4611232128692491
0,ss_max_position,total,imu,0.1823882018614994
0,ss_mean,last_30min,imu,354.984375
0,ss_mean,last_hour,imu,196.33246527777777
0,ss_mean,total,imu,303.0270606956521
0,ss_mean_60,last_30min,imu,440.83007825
0,ss_mean_60,last_hour,imu,306.50213072727274
0,ss_mean_60,total,imu,408.18281254
0,ss_median,last_30min,imu,118.75
0,ss_median,last_hour,imu,90.058594
0,ss_median,total,imu,186.289063
0,ss_median_60,last_30min,imu,329.2382815
0,ss_median_60,last_hour,imu,144.140625
0,ss_median_60,total,imu,288.105469
0,ss_number,last_30min,imu,5.0
0,ss_number,last_hour,imu,18.0
0,ss_number,total,imu,69.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_hour,imu,11.0
0,ss_number_60,total,imu,50.0
0,ss_skewness,last_30min,imu,0.8086177431618398
0,ss_skewness,last_hour,imu,2.1949317078416057
0,ss_skewness,total,imu,2.360587641182959
0,ss_skewness_60,last_30min,imu,0.5283893510911492
0,ss_skewness_60,last_hour,imu,1.5811190426447197
0,ss_skewness_60,total,imu,2.3055687981588373
0,ss_std,last_30min,imu,414.9833995514417
0,ss_std,last_hour,imu,296.6842392665733
0,ss_std,total,imu,350.74748719902783
0,ss_std_60,last_30min,imu,424.8353376244121
0,ss_std_60,last_hour,imu,339.3131603129664
0,ss_std_60,total,imu,360.064721338756
