night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,987.109375
0,ss_max,last_30min,selfreport,890.625
0,ss_max,last_hour,imu,1331.914063
0,ss_max,last_hour,selfreport,1331.914062
0,ss_max,total,imu,2772.070313
0,ss_max,total,selfreport,2772.070312
0,ss_max_60,last_30min,imu,987.109375
0,ss_max_60,last_30min,selfreport,890.625
0,ss_max_60,last_hour,imu,1331.914063
0,ss_max_60,last_hour,selfreport,1331.914062
0,ss_max_60,total,imu,2772.070313
0,ss_max_60,total,selfreport,2772.070312
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.4956841129752017
0,ss_max_position,last_hour,imu,0.404276270210494
0,ss_max_position,last_hour,selfreport,0.3731021406506676
0,ss_max_position,total,imu,0.2691942359578957
0,ss_max_position,total,selfreport,0.2566822916666667
0,ss_mean,last_30min,imu,891.3867184999999
0,ss_mean,last_30min,selfreport,883.0078125
0,ss_mean,last_hour,imu,587.7994795
0,ss_mean,last_hour,selfreport,585.0065103333333
0,ss_mean,total,imu,444.6821071492538
0,ss_mean,total,selfreport,459.86511225
0,ss_mean_60,last_30min,imu,891.3867184999999
0,ss_mean_60,last_30min,selfreport,883.0078125
0,ss_mean_60,last_hour,imu,587.7994795
0,ss_mean_60,last_hour,selfreport,585.0065103333333
0,ss_mean_60,total,imu,626.086893425532
0,ss_mean_60,total,selfreport,632.7887227826087
0,ss_median,last_30min,imu,891.3867184999999
0,ss_median,last_30min,selfreport,883.0078125
0,ss_median,last_hour,imu,503.9257815
0,ss_median,last_hour,selfreport,448.0664065
0,ss_median,total,imu,216.757813
0,ss_median,total,selfreport,228.4375
0,ss_median_60,last_30min,imu,891.3867184999999
0,ss_median_60,last_30min,selfreport,883.0078125
0,ss_median_60,last_hour,imu,503.9257815
0,ss_median_60,last_hour,selfreport,448.0664065
0,ss_median_60,total,imu,456.445312
0,ss_median_60,total,selfreport,465.585937
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,2.0
0,ss_number,last_hour,imu,6.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,67.0
0,ss_number,total,selfreport,64.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,47.0
0,ss_number_60,total,selfreport,46.0
0,ss_skewness,last_30min,imu,1.791841882503138e-15
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,0.7721493759145204
0,ss_skewness,last_hour,selfreport,0.6758749110419637
0,ss_skewness,total,imu,1.9702988284740728
0,ss_skewness,total,selfreport,1.893619897710341
0,ss_skewness_60,last_30min,imu,1.791841882503138e-15
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.7721493759145204
0,ss_skewness_60,last_hour,selfreport,0.6758749110419637
0,ss_skewness_60,total,imu,1.6983235016556866
0,ss_skewness_60,total,selfreport,1.659791339411346
0,ss_std,last_30min,imu,135.37227904868115
0,ss_std,last_30min,selfreport,10.77232986963881
0,ss_std,last_hour,imu,434.6585095009902
0,ss_std,last_hour,selfreport,457.9107718503807
0,ss_std,total,imu,573.0361269579411
0,ss_std,total,selfreport,574.4085469306403
0,ss_std_60,last_30min,imu,135.37227904868115
0,ss_std_60,last_30min,selfreport,10.77232986963881
0,ss_std_60,last_hour,imu,434.6585095009902
0,ss_std_60,last_hour,selfreport,457.9107718503807
0,ss_std_60,total,imu,598.6974819031585
0,ss_std_60,total,selfreport,594.2959714553323
1,ss_max,last_30min,imu,596.601563
1,ss_max,last_30min,selfreport,596.601562
1,ss_max,last_hour,imu,1043.476562
1,ss_max,last_hour,selfreport,1043.984375
1,ss_max,total,imu,2482.617187
1,ss_max,total,selfreport,2483.125
1,ss_max_60,last_30min,imu,596.601563
1,ss_max_60,last_30min,selfreport,596.601562
1,ss_max_60,last_hour,imu,1043.476562
1,ss_max_60,last_hour,selfreport,1043.984375
1,ss_max_60,total,imu,2482.617187
1,ss_max_60,total,selfreport,2483.125
1,ss_max_position,last_30min,imu,0.2502400726914166
1,ss_max_position,last_30min,selfreport,0.0995882141549506
1,ss_max_position,last_hour,imu,0.3210512181628324
1,ss_max_position,last_hour,selfreport,0.2457254929192884
1,ss_max_position,total,imu,0.2825446467699137
1,ss_max_position,total,selfreport,0.2736218990847784
1,ss_mean,last_30min,imu,351.93750020000004
1,ss_mean,last_30min,selfreport,208.06152325
1,ss_mean,last_hour,imu,250.4185266428572
1,ss_mean,last_hour,selfreport,200.5078127647059
1,ss_mean,total,imu,353.50191889473683
1,ss_mean,total,selfreport,336.2460937
1,ss_mean_60,last_30min,imu,431.435547
1,ss_mean_60,last_30min,selfreport,399.189453
1,ss_mean_60,last_hour,imu,375.7595483333333
1,ss_mean_60,last_hour,selfreport,361.3151044444445
1,ss_mean_60,total,imu,674.5070042758621
1,ss_mean_60,total,selfreport,653.7473957666666
1,ss_median,last_30min,imu,399.570312
1,ss_median,last_30min,selfreport,81.4257815
1,ss_median,last_hour,imu,127.128906
1,ss_median,last_hour,selfreport,60.351563
1,ss_median,total,imu,62.382812
1,ss_median,total,selfreport,55.78125
1,ss_median_60,last_30min,imu,409.9804685
1,ss_median_60,last_30min,selfreport,435.878906
1,ss_median_60,last_hour,imu,313.242187
1,ss_median_60,last_hour,selfreport,313.242188
1,ss_median_60,total,imu,521.445313
1,ss_median_60,total,selfreport,462.03125
1,ss_number,last_30min,imu,5.0
1,ss_number,last_30min,selfreport,8.0
1,ss_number,last_hour,imu,14.0
1,ss_number,last_hour,selfreport,17.0
1,ss_number,total,imu,57.0
1,ss_number,total,selfreport,60.0
1,ss_number_60,last_30min,imu,4.0
1,ss_number_60,last_30min,selfreport,4.0
1,ss_number_60,last_hour,imu,9.0
1,ss_number_60,last_hour,selfreport,9.0
1,ss_number_60,total,imu,29.0
1,ss_number_60,total,selfreport,30.0
1,ss_skewness,last_30min,imu,-0.5485376717325704
1,ss_skewness,last_30min,selfreport,0.5849812724864196
1,ss_skewness,last_hour,imu,1.4752792375197437
1,ss_skewness,last_hour,selfreport,1.763940312973327
1,ss_skewness,total,imu,2.384556373188387
1,ss_skewness,total,selfreport,2.4710271567399342
1,ss_skewness_60,last_30min,imu,0.5857560234888978
1,ss_skewness_60,last_30min,selfreport,-0.6122301826911581
1,ss_skewness_60,last_hour,imu,1.1383830701584603
1,ss_skewness_60,last_hour,selfreport,1.069788720300652
1,ss_skewness_60,total,imu,1.638922662471134
1,ss_skewness_60,total,selfreport,1.6756457659245447
1,ss_std,last_30min,imu,206.01121347212583
1,ss_std,last_30min,selfreport,241.4763715695645
1,ss_std,last_hour,imu,295.30813665394226
1,ss_std,last_hour,selfreport,285.26872843407244
1,ss_std,total,imu,573.4091209773428
1,ss_std,total,selfreport,562.9603511993969
1,ss_std_60,last_30min,imu,120.22713421510618
1,ss_std_60,last_30min,selfreport,196.18980622865053
1,ss_std_60,last_hour,imu,303.38051195278393
1,ss_std_60,last_hour,selfreport,317.3444194479081
1,ss_std_60,total,imu,663.3885089074729
1,ss_std_60,total,selfreport,660.3130031789491
