night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,646.367187
0,ss_max,last_30min,selfreport,646.367188
0,ss_max,last_hour,imu,1005.390625
0,ss_max,last_hour,selfreport,1040.429688
0,ss_max,total,imu,6899.570312
0,ss_max,total,selfreport,7135.195313
0,ss_max_60,last_30min,imu,646.367187
0,ss_max_60,last_30min,selfreport,646.367188
0,ss_max_60,last_hour,imu,1005.390625
0,ss_max_60,last_hour,selfreport,1040.429688
0,ss_max_60,total,imu,6899.570312
0,ss_max_60,total,selfreport,7135.195313
0,ss_max_position,last_30min,imu,0.2959434460487504
0,ss_max_position,last_30min,selfreport,0.3154096972087185
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0896530877777777
0,ss_mean,last_30min,imu,175.47265620000002
0,ss_mean,last_30min,selfreport,195.31684022222225
0,ss_mean,last_hour,imu,272.46093738461536
0,ss_mean,last_hour,selfreport,295.3841146666667
0,ss_mean,total,imu,447.77187498
0,ss_mean,total,selfreport,238.89744179411764
0,ss_mean_60,last_30min,imu,246.42857142857144
0,ss_mean_60,last_30min,selfreport,247.8069195714286
0,ss_mean_60,last_hour,imu,389.24479155555554
0,ss_mean_60,last_hour,selfreport,390.2604167777778
0,ss_mean_60,total,imu,782.3339843928571
0,ss_mean_60,total,selfreport,619.6727195945946
0,ss_median,last_30min,imu,96.9140625
0,ss_median,last_30min,selfreport,99.960937
0,ss_median,last_hour,imu,99.960937
0,ss_median,last_hour,selfreport,132.714844
0,ss_median,total,imu,98.9453125
0,ss_median,total,selfreport,39.277344
0,ss_median_60,last_30min,imu,165.976563
0,ss_median_60,last_30min,selfreport,165.46875
0,ss_median_60,last_hour,imu,191.367187
0,ss_median_60,last_hour,selfreport,166.484375
0,ss_median_60,total,imu,445.7812495
0,ss_median_60,total,selfreport,165.976563
0,ss_number,last_30min,imu,10.0
0,ss_number,last_30min,selfreport,9.0
0,ss_number,last_hour,imu,13.0
0,ss_number,last_hour,selfreport,12.0
0,ss_number,total,imu,50.0
0,ss_number,total,selfreport,102.0
0,ss_number_60,last_30min,imu,7.0
0,ss_number_60,last_30min,selfreport,7.0
0,ss_number_60,last_hour,imu,9.0
0,ss_number_60,last_hour,selfreport,9.0
0,ss_number_60,total,imu,28.0
0,ss_number_60,total,selfreport,37.0
0,ss_skewness,last_30min,imu,1.352195091367195
0,ss_skewness,last_30min,selfreport,1.225272471274429
0,ss_skewness,last_hour,imu,1.044177269346839
