night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,451.367188
0,ss_max,last_30min,selfreport,507.226563
0,ss_max,last_hour,imu,1139.453125
0,ss_max,last_hour,selfreport,1139.453125
0,ss_max,total,imu,3529.726562
0,ss_max,total,selfreport,3529.726563
0,ss_max_60,last_30min,imu,451.367188
0,ss_max_60,last_30min,selfreport,507.226563
0,ss_max_60,last_hour,imu,1139.453125
0,ss_max_60,last_hour,selfreport,1139.453125
0,ss_max_60,total,imu,3529.726562
0,ss_max_60,total,selfreport,3529.726563
0,ss_max_position,last_30min,imu,0.6525426026283652
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.1163740134746154
0,ss_max_position,last_hour,selfreport,0.1661679854528827
0,ss_max_position,total,imu,0.4892735130845918
0,ss_max_position,total,selfreport,0.4631186636363636
0,ss_mean,last_30min,imu,171.5117187
0,ss_mean,last_30min,selfreport,353.359375
0,ss_mean,last_hour,imu,269.1015625384616
0,ss_mean,last_hour,selfreport,443.8134765
0,ss_mean,total,imu,423.98224434545455
0,ss_mean,total,selfreport,890.7875
0,ss_mean_60,last_30min,imu,335.8906248
0,ss_mean_60,last_30min,selfreport,440.44921875
0,ss_mean_60,last_hour,imu,432.958984375
0,ss_mean_60,last_hour,selfreport,506.501116
0,ss_mean_60,total,imu,952.9801432916666
0,ss_mean_60,total,selfreport,1009.4992897727273
0,ss_median,last_30min,imu,50.957031
0,ss_median,last_30min,selfreport,425.46875
0,ss_median,last_hour,imu,91.835937
0,ss_median,last_hour,selfreport,435.625
0,ss_median,total,imu,30.390625
0,ss_median,total,selfreport,567.148438
0,ss_median_60,last_30min,imu,382.304687
0,ss_median_60,last_30min,selfreport,435.878906
0,ss_median_60,last_hour,imu,404.140625
0,ss_median_60,last_hour,selfreport,446.289063
0,ss_median_60,total,imu,641.2890625
0,ss_median_60,total,selfreport,641.5429684999999
0,ss_number,last_30min,imu,10.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,13.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,55.0
0,ss_number,total,selfreport,25.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,24.0
0,ss_number_60,total,selfreport,22.0
0,ss_skewness,last_30min,imu,0.4330516192266031
0,ss_skewness,last_30min,selfreport,-1.3110024856762508
0,ss_skewness,last_hour,imu,1.3990426091586745
