night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,752.5
0,ss_max,last_30min,selfreport,538.203125
0,ss_max,last_hour,imu,1827.03125
0,ss_max,last_hour,selfreport,707.8125
0,ss_max,total,imu,3559.6875
0,ss_max,total,selfreport,3560.195312
0,ss_max_60,last_30min,imu,752.5
0,ss_max_60,last_30min,selfreport,538.203125
0,ss_max_60,last_hour,imu,1827.03125
0,ss_max_60,last_hour,selfreport,707.8125
0,ss_max_60,total,imu,3559.6875
0,ss_max_60,total,selfreport,3560.195312
0,ss_max_position,last_30min,imu,0.1749141433536721
0,ss_max_position,last_30min,selfreport,0.7007850517589058
0,ss_max_position,last_hour,imu,0.0794164481948935
0,ss_max_position,last_hour,selfreport,0.246571849381697
0,ss_max_position,total,imu,0.6528295605330805
0,ss_max_position,total,selfreport,0.7424944196428571
0,ss_mean,last_30min,imu,589.3229166666666
0,ss_mean,last_30min,selfreport,121.79687492857144
0,ss_mean,last_hour,imu,213.298339875
0,ss_mean,last_hour,selfreport,148.77717395652175
0,ss_mean,total,imu,316.95268111363634
0,ss_mean,total,selfreport,323.33072914666667
0,ss_mean_60,last_30min,imu,589.3229166666666
0,ss_mean_60,last_30min,selfreport,255.52083316666668
0,ss_mean_60,last_hour,imu,1094.0885416666667
0,ss_mean_60,last_hour,selfreport,316.2890625
0,ss_mean_60,total,imu,613.9364346818182
0,ss_mean_60,total,selfreport,572.6229039268293
0,ss_median,last_30min,imu,702.734375
0,ss_median,last_30min,selfreport,34.960938
0,ss_median,last_hour,imu,11.855469
0,ss_median,last_hour,selfreport,34.453125
0,ss_median,total,imu,59.082031
0,ss_median,total,selfreport,85.234375
0,ss_median_60,last_30min,imu,702.734375
0,ss_median_60,last_30min,selfreport,153.2812495
0,ss_median_60,last_hour,imu,752.5
0,ss_median_60,last_hour,selfreport,168.515625
0,ss_median_60,total,imu,324.921875
0,ss_median_60,total,selfreport,314.765625
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,14.0
0,ss_number,last_hour,imu,16.0
0,ss_number,last_hour,selfreport,23.0
0,ss_number,total,imu,88.0
0,ss_number,total,selfreport,75.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,44.0
0,ss_number_60,total,selfreport,41.0
0,ss_skewness,last_30min,imu,-0.6732875042545232
0,ss_skewness,last_30min,selfreport,1.7156194995353675
0,ss_skewness,last_hour,imu,2.4828485894296337
0,ss_skewness,last_hour,selfreport,1.6505367484851985
0,ss_skewness,total,imu,3.1713933638407257
0,ss_skewness,total,selfreport,3.3159404191273505
0,ss_skewness_60,last_30min,imu,-0.6732875042545232
0,ss_skewness_60,last_30min,selfreport,0.6698659639745244
0,ss_skewness_60,last_hour,imu,0.7022275611257941
0,ss_skewness_60,last_hour,selfreport,0.5368616142264925
0,ss_skewness_60,total,imu,2.198974055051183
0,ss_skewness_60,total,selfreport,2.4384440889721035
0,ss_std,last_30min,imu,240.8216568207274
0,ss_std,last_30min,selfreport,173.74724240999663
0,ss_std,last_hour,imu,494.75308551048863
0,ss_std,last_hour,selfreport,221.47724898543632
0,ss_std,total,imu,608.1389904953958
0,ss_std,total,selfreport,615.1125378971833
0,ss_std_60,last_30min,imu,240.8216568207274
0,ss_std_60,last_30min,selfreport,201.7788139990211
0,ss_std_60,last_hour,imu,635.2345351381342
0,ss_std_60,last_hour,selfreport,254.1033177545449
0,ss_std_60,total,imu,753.3564591622829
0,ss_std_60,total,selfreport,747.8320268210254
1,ss_max,last_30min,imu,683.4375
1,ss_max,last_30min,selfreport,683.4375
1,ss_max,last_hour,imu,1517.265625
1,ss_max,last_hour,selfreport,1452.265625
1,ss_max,total,imu,3526.171875
1,ss_max,total,selfreport,3526.171875
1,ss_max_60,last_30min,imu,683.4375
1,ss_max_60,last_30min,selfreport,683.4375
1,ss_max_60,last_hour,imu,1517.265625
1,ss_max_60,last_hour,selfreport,1452.265625
1,ss_max_60,total,imu,3526.171875
1,ss_max_60,total,selfreport,3526.171875
1,ss_max_position,last_30min,imu,0.5521080301860638
1,ss_max_position,last_30min,selfreport,0.5159967231711121
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.411625865228013
1,ss_max_position,total,selfreport,0.4010739497245179
1,ss_mean,last_30min,imu,290.05208316666665
1,ss_mean,last_30min,selfreport,216.05957025
1,ss_mean,last_hour,imu,347.67187520000004
1,ss_mean,last_hour,selfreport,288.52864600000004
1,ss_mean,total,imu,446.6318358875
1,ss_mean,total,selfreport,505.5145089285716
1,ss_mean_60,last_30min,imu,345.74218740000003
1,ss_mean_60,last_30min,selfreport,340.4609376
1,ss_mean_60,last_hour,imu,432.51464862500006
1,ss_mean_60,last_hour,selfreport,428.8964845
1,ss_mean_60,total,imu,642.5078124545454
1,ss_mean_60,total,selfreport,673.916015673077
1,ss_median,last_30min,imu,236.8164065
1,ss_median,last_30min,selfreport,189.0820315
1,ss_median,last_hour,imu,170.8007815
1,ss_median,last_hour,selfreport,130.9375
1,ss_median,total,imu,219.0429685
1,ss_median,total,selfreport,242.402344
1,ss_median_60,last_30min,imu,246.71875
1,ss_median_60,last_30min,selfreport,246.71875
1,ss_median_60,last_hour,imu,236.5625
1,ss_median_60,last_hour,selfreport,236.5625
1,ss_median_60,total,imu,359.960938
1,ss_median_60,total,selfreport,411.5039065
1,ss_number,last_30min,imu,6.0
1,ss_number,last_30min,selfreport,8.0
1,ss_number,last_hour,imu,10.0
1,ss_number,last_hour,selfreport,12.0
1,ss_number,total,imu,80.0
1,ss_number,total,selfreport,70.0
1,ss_number_60,last_30min,imu,5.0
1,ss_number_60,last_30min,selfreport,5.0
1,ss_number_60,last_hour,imu,8.0
1,ss_number_60,last_hour,selfreport,8.0
1,ss_number_60,total,imu,55.0
1,ss_number_60,total,selfreport,52.0
1,ss_skewness,last_30min,imu,0.580052319498785
1,ss_skewness,last_30min,selfreport,0.9584382362512116
1,ss_skewness,last_hour,imu,1.807860788268746
1,ss_skewness,last_hour,selfreport,1.9672642564218272
1,ss_skewness,total,imu,2.59055099822101
1,ss_skewness,total,selfreport,2.408292156448195
1,ss_skewness_60,last_30min,imu,0.6086469168518536
1,ss_skewness_60,last_30min,selfreport,0.9362112424967436
1,ss_skewness_60,last_hour,imu,1.5998052952148814
1,ss_skewness_60,last_hour,selfreport,1.5634334692453549
1,ss_skewness_60,total,imu,2.180781968613067
1,ss_skewness_60,total,selfreport,2.120805754523084
1,ss_std,last_30min,imu,243.48000463834296
1,ss_std,last_30min,selfreport,234.3179065285469
1,ss_std,last_hour,imu,461.5378906167962
1,ss_std,last_hour,selfreport,420.34837722959065
1,ss_std,total,imu,686.8505387332618
1,ss_std,total,selfreport,715.2792453381096
1,ss_std_60,last_30min,imu,225.48333198257225
1,ss_std_60,last_30min,selfreport,210.937757455704
1,ss_std_60,last_hour,imu,482.4345080437875
1,ss_std_60,last_hour,selfreport,458.3701355023312
1,ss_std_60,total,imu,751.6927370583261
1,ss_std_60,total,selfreport,761.3480221763148
