night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,638.75
0,ss_max,last_30min,selfreport,1211.054687
0,ss_max,last_hour,imu,678.359375
0,ss_max,last_hour,selfreport,1211.054688
0,ss_max,total,imu,2700.976563
0,ss_max,total,selfreport,2701.484375
0,ss_max_60,last_30min,imu,638.75
0,ss_max_60,last_30min,selfreport,1211.054687
0,ss_max_60,last_hour,imu,678.359375
0,ss_max_60,last_hour,selfreport,1211.054688
0,ss_max_60,total,imu,2700.976563
0,ss_max_60,total,selfreport,2701.484375
0,ss_max_position,last_30min,imu,0.5786272715966302
0,ss_max_position,last_30min,selfreport,0.3269766005147244
0,ss_max_position,last_hour,imu,0.1015627755172404
0,ss_max_position,last_hour,selfreport,0.6635434665283196
0,ss_max_position,total,imu,0.2121060388074081
0,ss_max_position,total,selfreport,0.1934854714736842
0,ss_mean,last_30min,imu,217.963867375
0,ss_mean,last_30min,selfreport,292.33723933333334
0,ss_mean,last_hour,imu,270.546875
0,ss_mean,last_hour,selfreport,352.29296890000006
0,ss_mean,total,imu,349.9629667012987
0,ss_mean,total,selfreport,399.2946428428571
0,ss_mean_60,last_30min,imu,343.4062502
0,ss_mean_60,last_30min,selfreport,435.62499975
0,ss_mean_60,last_hour,imu,349.09375
0,ss_mean_60,last_hour,selfreport,438.671875125
0,ss_mean_60,total,imu,561.5192818936171
0,ss_mean_60,total,selfreport,572.7343749791667
0,ss_median,last_30min,imu,121.289063
0,ss_median,last_30min,selfreport,92.597656
0,ss_median,last_hour,imu,244.179688
0,ss_median,last_hour,selfreport,283.027344
0,ss_median,total,imu,130.429687
0,ss_median,total,selfreport,193.3984375
0,ss_median_60,last_30min,imu,380.78125
0,ss_median_60,last_30min,selfreport,231.484375
0,ss_median_60,last_hour,imu,338.6328125
0,ss_median_60,last_hour,selfreport,417.089844
0,ss_median_60,total,imu,350.820312
0,ss_median_60,total,selfreport,351.074219
0,ss_number,last_30min,imu,8.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,13.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,77.0
0,ss_number,total,selfreport,70.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,4.0
