night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1555.351562
0,ss_max,last_hour,imu,1555.351563
0,ss_max,total,imu,3469.804688
0,ss_max_60,last_30min,imu,1555.351562
0,ss_max_60,last_hour,imu,1555.351563
0,ss_max_60,total,imu,3469.804688
0,ss_max_position,last_30min,imu,0.1356995211699023
0,ss_max_position,last_hour,imu,0.567905186276151
0,ss_max_position,total,imu,0.0712115787662108
0,ss_mean,last_30min,imu,888.3398435
0,ss_mean,last_hour,imu,505.4854912857142
0,ss_mean,total,imu,472.7625229411765
0,ss_mean_60,last_30min,imu,888.3398435
0,ss_mean_60,last_hour,imu,583.3984376666667
0,ss_mean_60,total,imu,601.679687490566
0,ss_median,last_30min,imu,888.3398435
0,ss_median,last_hour,imu,300.546875
0,ss_median,total,imu,264.74609350000003
0,ss_median_60,last_30min,imu,888.3398435
0,ss_median_60,last_hour,imu,363.515625
0,ss_median_60,total,imu,404.648437
0,ss_number,last_30min,imu,2.0
0,ss_number,last_hour,imu,7.0
0,ss_number,total,imu,68.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,total,imu,53.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_hour,imu,1.3378516792400938
0,ss_skewness,total,imu,2.584491048680662
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_hour,imu,1.27053176556736
0,ss_skewness_60,total,imu,2.3854848324334217
0,ss_std,last_30min,imu,943.2970185644853
0,ss_std,last_hour,imu,515.6636833208463
0,ss_std,total,imu,643.667026999715
0,ss_std_60,last_30min,imu,943.2970185644853
0,ss_std_60,last_hour,imu,517.7830168706123
0,ss_std_60,total,imu,675.9938565821127
