night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,604.21875
0,ss_max,last_30min,selfreport,604.21875
0,ss_max,last_hour,imu,604.21875
0,ss_max,last_hour,selfreport,604.21875
0,ss_max,total,imu,2815.742187
0,ss_max,total,selfreport,2815.742187
0,ss_max_60,last_30min,imu,604.21875
0,ss_max_60,last_30min,selfreport,604.21875
0,ss_max_60,last_hour,imu,604.21875
0,ss_max_60,last_hour,selfreport,604.21875
0,ss_max_60,total,imu,2815.742187
0,ss_max_60,total,selfreport,2815.742187
0,ss_max_position,last_30min,imu,0.2445976813868659
0,ss_max_position,last_30min,selfreport,0.0101563050979551
0,ss_max_position,last_hour,imu,0.6223541186911025
0,ss_max_position,last_hour,selfreport,0.5051337487864047
0,ss_max_position,total,imu,0.4852128251114668
0,ss_max_position,total,selfreport,0.4711917562724014
0,ss_mean,last_30min,imu,156.55894881818182
0,ss_mean,last_30min,selfreport,130.1953126153846
0,ss_mean,last_hour,imu,217.4243164375
0,ss_mean,last_hour,selfreport,171.6894532
0,ss_mean,total,imu,231.2152777521368
0,ss_mean,total,selfreport,227.660845579832
0,ss_mean_60,last_30min,imu,184.76562500000003
0,ss_mean_60,last_30min,selfreport,197.0166015
0,ss_mean_60,last_hour,imu,244.2522321428572
0,ss_mean_60,last_hour,selfreport,208.2519531875
0,ss_mean_60,total,imu,358.50097654166666
0,ss_mean_60,total,selfreport,353.6584974246575
0,ss_median,last_30min,imu,133.984375
0,ss_median,last_30min,selfreport,80.664062
0,ss_median,last_hour,imu,154.550781
0,ss_median,last_hour,selfreport,140.0781255
0,ss_median,total,imu,110.117188
0,ss_median,total,selfreport,104.023437
0,ss_median_60,last_30min,imu,145.664062
0,ss_median_60,last_30min,selfreport,146.425781
0,ss_median_60,last_hour,imu,160.6445315
0,ss_median_60,last_hour,selfreport,154.5507815
0,ss_median_60,total,imu,212.695312
0,ss_median_60,total,selfreport,210.15625
0,ss_number,last_30min,imu,11.0
0,ss_number,last_30min,selfreport,13.0
0,ss_number,last_hour,imu,16.0
0,ss_number,last_hour,selfreport,20.0
0,ss_number,total,imu,117.0
0,ss_number,total,selfreport,119.0
0,ss_number_60,last_30min,imu,9.0
0,ss_number_60,last_30min,selfreport,8.0
0,ss_number_60,last_hour,imu,14.0
0,ss_number_60,last_hour,selfreport,16.0
0,ss_number_60,total,imu,72.0
0,ss_number_60,total,selfreport,73.0
0,ss_skewness,last_30min,imu,2.291469878959458
0,ss_skewness,last_30min,selfreport,2.154855966869168
0,ss_skewness,last_hour,imu,1.0523033953662175
