night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,488.945312
0,ss_max,last_hour,imu,516.875
0,ss_max,total,imu,3305.78125
0,ss_max_60,last_30min,imu,488.945312
0,ss_max_60,last_hour,imu,516.875
0,ss_max_60,total,imu,3305.78125
0,ss_max_position,last_30min,imu,0.7281506518839531
0,ss_max_position,last_hour,imu,0.3915809232743655
0,ss_max_position,total,imu,0.241863343603279
0,ss_mean,last_30min,imu,353.0546876
0,ss_mean,last_hour,imu,320.8593750909091
0,ss_mean,total,imu,453.8907137575758
0,ss_mean_60,last_30min,imu,353.0546876
0,ss_mean_60,last_hour,imu,348.63671880000004
0,ss_mean_60,total,imu,532.000383625
0,ss_median,last_30min,imu,364.023438
0,ss_median,last_hour,imu,298.515625
0,ss_median,total,imu,297.7539065
0,ss_median_60,last_30min,imu,364.023438
0,ss_median_60,last_hour,imu,331.015625
0,ss_median_60,total,imu,375.195312
0,ss_number,last_30min,imu,5.0
0,ss_number,last_hour,imu,11.0
0,ss_number,total,imu,66.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,total,imu,56.0
0,ss_skewness,last_30min,imu,-0.5562949721964305
0,ss_skewness,last_hour,imu,-0.2965582248480135
0,ss_skewness,total,imu,3.2813557804770164
0,ss_skewness_60,last_30min,imu,-0.5562949721964305
0,ss_skewness_60,last_hour,imu,-0.3241118928591104
0,ss_skewness_60,total,imu,3.203730049035611
0,ss_std,last_30min,imu,150.99273327405632
0,ss_std,last_hour,imu,169.20659979505268
0,ss_std,total,imu,597.8518615772463
0,ss_std_60,last_30min,imu,150.99273327405632
0,ss_std_60,last_hour,imu,149.60497746970714
0,ss_std_60,total,imu,617.5579564648153
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_hour,imu,3599.804688
1,ss_max,total,imu,3733.34961
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_hour,imu,3599.804688
1,ss_max_60,total,imu,3733.34961
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,total,imu,0.3958971668180961
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_hour,imu,3599.804688
1,ss_mean,total,imu,151.0760177894737
1,ss_mean_60,last_30min,imu,1799.609375
1,ss_mean_60,last_hour,imu,3599.804688
1,ss_mean_60,total,imu,646.8103030000001
1,ss_median,last_30min,imu,1799.609375
1,ss_median,last_hour,imu,3599.804688
1,ss_median,total,imu,16.425781
1,ss_median_60,last_30min,imu,1799.609375
1,ss_median_60,last_hour,imu,3599.804688
1,ss_median_60,total,imu,114.9414065
1,ss_number,last_30min,imu,1.0
1,ss_number,last_hour,imu,1.0
1,ss_number,total,imu,38.0
1,ss_number_60,last_30min,imu,1.0
1,ss_number_60,last_hour,imu,1.0
1,ss_number_60,total,imu,8.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_hour,imu,0.0
1,ss_skewness,total,imu,5.58610463273949
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_hour,imu,0.0
1,ss_skewness_60,total,imu,2.140665554995449
1,ss_std,total,imu,609.1049259776596
1,ss_std_60,total,imu,1266.6311298838689
2,ss_max,last_30min,imu,734.726563
2,ss_max,last_hour,imu,1306.523438
2,ss_max,total,imu,1654.882813
2,ss_max_60,last_30min,imu,734.726563
2,ss_max_60,last_hour,imu,1306.523438
2,ss_max_60,total,imu,1654.882813
2,ss_max_position,last_30min,imu,0.0
2,ss_max_position,last_hour,imu,0.3410816543506541
2,ss_max_position,total,imu,0.5687425101032448
2,ss_mean,last_30min,imu,294.87630200000007
2,ss_mean,last_hour,imu,321.3210229090909
2,ss_mean,total,imu,218.02318139344263
2,ss_mean_60,last_30min,imu,348.89062500000006
2,ss_mean_60,last_hour,imu,432.514648625
2,ss_mean_60,total,imu,429.4436961724138
2,ss_median,last_30min,imu,127.128906
2,ss_median,last_hour,imu,116.71875
2,ss_median,total,imu,51.71875
2,ss_median_60,last_30min,imu,137.539062
2,ss_median_60,last_hour,imu,139.3164065
2,ss_median_60,total,imu,141.09375
2,ss_number,last_30min,imu,6.0
2,ss_number,last_hour,imu,11.0
2,ss_number,total,imu,61.0
2,ss_number_60,last_30min,imu,5.0
2,ss_number_60,last_hour,imu,8.0
2,ss_number_60,total,imu,29.0
2,ss_skewness,last_30min,imu,0.6834132055769261
2,ss_skewness,last_hour,imu,1.3733543327972184
2,ss_skewness,total,imu,2.203084634968818
2,ss_skewness_60,last_30min,imu,0.4394256994715632
2,ss_skewness_60,last_hour,imu,0.9499685150117289
2,ss_skewness_60,total,imu,1.183782364553103
2,ss_std,last_30min,imu,308.5744571707041
2,ss_std,last_hour,imu,434.3969207865594
2,ss_std,total,imu,363.6229176334903
2,ss_std_60,last_30min,imu,311.6747364707811
2,ss_std_60,last_hour,imu,466.6484218433686
2,ss_std_60,total,imu,441.3365201779561
