subject,night,condition,type,time_span,feature,data
AB19E,0,Known Alarm,imu,last_30min,ss_max,958.164062
AB19E,0,Known Alarm,imu,last_30min,ss_max_60,958.164062
AB19E,0,Known Alarm,imu,last_30min,ss_max_position,0.0
AB19E,0,Known Alarm,imu,last_30min,ss_mean,590.3385413333333
AB19E,0,Known Alarm,imu,last_30min,ss_mean_60,590.3385413333333
AB19E,0,Known Alarm,imu,last_30min,ss_median,413.28125
AB19E,0,Known Alarm,imu,last_30min,ss_median_60,413.28125
AB19E,0,Known Alarm,imu,last_30min,ss_number,3.0
AB19E,0,Known Alarm,imu,last_30min,ss_number_60,3.0
AB19E,0,Known Alarm,imu,last_30min,ss_skewness,0.7056339872473005
AB19E,0,Known Alarm,imu,last_30min,ss_skewness_60,0.7056339872473005
AB19E,0,Known Alarm,imu,last_30min,ss_std,318.62000517150244
AB19E,0,Known Alarm,imu,last_30min,ss_std_60,318.62000517150244
AB19E,0,Known Alarm,imu,last_hour,ss_max,2758.359375
AB19E,0,Known Alarm,imu,last_hour,ss_max_60,2758.359375
AB19E,0,Known Alarm,imu,last_hour,ss_max_position,0.0
AB19E,0,Known Alarm,imu,last_hour,ss_mean,1190.234375
AB19E,0,Known Alarm,imu,last_hour,ss_mean_60,1190.234375
AB19E,0,Known Alarm,imu,last_hour,ss_median,412.773438
AB19E,0,Known Alarm,imu,last_hour,ss_median_60,412.773438
AB19E,0,Known Alarm,imu,last_hour,ss_number,3.0
AB19E,0,Known Alarm,imu,last_hour,ss_number_60,3.0
AB19E,0,Known Alarm,imu,last_hour,ss_skewness,0.707031592257121
AB19E,0,Known Alarm,imu,last_hour,ss_skewness_60,0.707031592257121
AB19E,0,Known Alarm,imu,last_hour,ss_std,1358.0521316771287
AB19E,0,Known Alarm,imu,last_hour,ss_std_60,1358.0521316771287
AB19E,0,Known Alarm,imu,total,ss_max,2919.84375
AB19E,0,Known Alarm,imu,total,ss_max_60,2919.84375
AB19E,0,Known Alarm,imu,total,ss_max_position,0.8177654971559034
AB19E,0,Known Alarm,imu,total,ss_mean,390.1855469423077
AB19E,0,Known Alarm,imu,total,ss_mean_60,510.84635423076935
AB19E,0,Known Alarm,imu,total,ss_median,273.37890600000003
AB19E,0,Known Alarm,imu,total,ss_median_60,406.171875
AB19E,0,Known Alarm,imu,total,ss_number,52.0
AB19E,0,Known Alarm,imu,total,ss_number_60,39.0
AB19E,0,Known Alarm,imu,total,ss_skewness,3.024902990788792
AB19E,0,Known Alarm,imu,total,ss_skewness_60,2.913059839284329
AB19E,0,Known Alarm,imu,total,ss_std,502.5460648359979
AB19E,0,Known Alarm,imu,total,ss_std_60,528.2437055976118
AB19E,0,Known Alarm,selfreport,last_30min,ss_max,1799.609375
AB19E,0,Known Alarm,selfreport,last_30min,ss_max_60,1799.609375
AB19E,0,Known Alarm,selfreport,last_30min,ss_max_position,0.0
